dataset,question_id,exact_question,explicit_company_names,explicit_file_names,explicit_document_roles,explicit_file_types,person_names,department_names,task_ids,dates,numeric_literals,column_names,sheet_names,page_or_slide_references,version_comparison,multi_document_required,style_attribute_terms,color_terms,bold_terms,underline_terms,highlight_terms,comment_or_note_terms,chart_or_graph_terms,seating_chart_terms,layout_terms,calculation_required,vision_likely_required,internal_scope_terms,requested_answer_type,possible_executor_family,question_signal_class,current_routes,current_required_file_types,generated_by,source,confidence,requires_manual_review
valid,0,青潮モビリティサービスの最終報告における、モビリティ需要の要因分析のページで、マーカーされている単語をすべて抜き出してください。,,,最終報告,,,,,,,,,ページ,False,False,,False,False,False,False,False,False,False,,False,False,,list,document_lookup,semantic_document_guess,format_extraction | location_lookup,docx | pptx | pdf | xlsx | ipynb,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,1,KSSのfigure_06.pngにおいて、dayによる件数推移とあわせて表示されているTG平均が最も低い日は何日ですか。,,,,,,,,,06,,,,False,False,,False,False,False,False,False,False,False,,True,False,,single_or_short_text,calculation,content_probe_required | insufficient_question_signal,calculation,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,2,恒一会 かえで総合病院の提案書内で、重視するとされている評価指標を答えてください。,,,提案書,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,semantic_document_guess,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,3,全案件で支払った税込金額をもとに、消費税額の総額を計算してください。,,,,,,,,,,,,,False,True,,False,False,False,False,False,False,False,,True,False,,single_or_short_text,calculation,multi_document_required | content_probe_required | insufficient_question_signal,calculation | cross_file_aggregation,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,4,青嶺不動産アセットマネジメントの modeling.py において、前処理器の sparse_output が False になる model_type は何ですか。,,modeling.py,,py,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,explicit_document,code_execution,py | ipynb,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,5,白峰信用リスク評価の最終報告書において、「プロジェクト目的とスコープ」内でAPI化はどの分類に記載されていますか。,,,最終報告 | 報告書,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,semantic_document_guess,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,6,恒一会 かえで総合病院のtrain.xlsx内の PivotTable で集計されている表から、ALPの平均が最も高いものの抽出条件を教えてください。,,かえで総合病院のtrain.xlsx,,xlsx,,,,,,,,,False,False,,False,False,False,False,False,False,False,,True,False,,single_or_short_text,calculation,explicit_document,calculation | table_lookup,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,7,恒一会 かえで総合病院のプロジェクトデータ（train.csv）において、disease=1の女性の中で、ALT_GPTの平均値が最も高い年齢は何歳ですか。,,かえで総合病院のプロジェクトデータ（train.csv,,csv,,,,,1,,,,False,False,,False,False,False,False,False,False,False,,True,False,,single_or_short_text,calculation,explicit_document,calculation | table_lookup,csv | xlsx | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,8,蒼泉会 ひがし丘総合病院の契約条件において、仮に実績工数が見込工数の4分の3だった場合、最終請求金額（税込）は見込金額（税込）よりいくら少なくなりますか。,,,,,,,,,4 | 3,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,9,青嶺不動産アセットマネジメントの提案書について、oldフォルダ内の旧版と提案フォルダ直下の最新版を比較し、変更された箇所を変更前と変更後で答えてください。,,,提案書,,,,,,,,,,True,True,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,multi_document_required,diff_comparison,docx | pptx | pdf | xlsx,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
