dataset,question_id,human_selected_documents,human_selected_company,human_selected_file_types,human_selected_document_roles,multiple_documents_required,source_of_label,label_confidence,notes,generated_by,source,confidence,requires_manual_review
test,0,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書old.pptx | share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書.pptx,白峰信用リスク評価株式会社,,,True,human_review.human_sorce_files,human_confirmed,正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,22,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb | share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb,白峰信用リスク評価株式会社,,,True,human_review.human_sorce_files,human_confirmed,不正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,25,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx,白峰信用リスク評価株式会社,,,False,human_review.human_sorce_files,human_confirmed,不正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,44,share/共有ドライブ/社内管理/座席表.pptx | share/共有ドライブ/社内管理/社内用語集.pptx,白峰信用リスク評価株式会社,,,True,human_review.human_sorce_files,human_confirmed,不正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,51,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書.pptx,白峰信用リスク評価株式会社,,,False,human_review.human_sorce_files,human_confirmed,不正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,58,share/共有ドライブ/社内管理/座席表.pptx | share/共有ドライブ/社内管理/社内用語集.pptx,白峰信用リスク評価株式会社,,,True,human_review.human_sorce_files,human_confirmed,不正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,60,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.md,白峰信用リスク評価株式会社,,,False,human_review.human_sorce_files,human_confirmed,正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,69,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.md,白峰信用リスク評価株式会社,,,False,human_review.human_sorce_files,human_confirmed,不正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,70,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/報告資料/報告資料_2025-05-27.pdf | share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-05-27.pdf,白峰信用リスク評価株式会社,,,True,human_review.human_sorce_files,human_confirmed,不正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,9,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx,青葉与信マネジメント株式会社,,,True,human_review.human_sorce_files,human_confirmed,不正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
