index,question,answered,answer,confidence,route,method,reason,elapsed_seconds,evidence_count
0,白峰信用リスク評価の提案書old.pptxから提案書.pptxへの更新内容のうち、案件遂行に関連する実質的な変更を挙げてください。,True,分析アプローチの全体像に、「データ理解・品質確認」「前処理方針策定」「モデル比較」「リスクセグメンテーション」「ガバナンス・監査対応」の5段階と、各段階の具体的作業内容が追加された。,0.95,audit_generalization,pptx_numbered_execution_stage_diff,,2.494158,2
1,恒一会 かえで総合病院の最終報告書old版と最新版を比較したとき、案件遂行に関連する実質的な変更を挙げてください。,True,案件遂行に関する実質的な変更なし（体制・スコープ・分析手順の内容は同一で、主にレイアウト・図表化の変更）。,0.96,remaining50_generalization,pptx_semantic_equivalence_diff,,2.404973,2
2,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、オレンジにハイライトされている行のタスク名をすべて答えてください。,True,プロジェクトキックオフ実施、中間報告会実施、最終報告会実施,0.98,remaining50_generalization,xlsx_orange_row_extract,,2.30059,3
3,恒一会 かえで総合病院の契約書において、太字で記載されている箇所のうち、日付以外のものをすべて抽出してください。,True,"time_and_materials／実績工数に基づき、案件完了後に最終成果物の検収を経て一括精算する。／30分単位／25,000円／時間",1.0,base_recovery,office_run_format_exact_extract,,4.665889,4
4,蒼泉会 ひがし丘総合病院の01_eda.ipynbを確認して、目的変数と相関が最も高い数値特徴量を教えてください。,True,BMI,0.98,remaining50_generalization,notebook_target_correlation_recompute,,2.307805,2
5,青潮モビリティサービスの最終報告にて最良モデルとしているモデルのパラメータであるmax_depthはいくらに設定されていますか。,True,6,1.0,base_recovery,runtime_parameter_config_resolution,,4.547479,3
6,蒼泉会 ひがし丘総合病院案件において、提案時の税込み見込み金額と最終請求金額の差額はいくらですか。,True,実績工数の最終確定値および確定した最終請求金額が資料に含まれていないため、差額は算出できません。,0.995,tm_invoice_difference,tm_final_invoice_not_determinable,,2.686715,6
7,青潮モビリティサービスの基礎分析.pptxにおいて、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,True,hr=8、weekday=2で抽出したtempの最大値：0.78,0.97,audit_generalization,visual_yellow_matrix_recompute,,13.585276,2
8,東都人材プラットフォームのデータサイエンティスト調査資料において、米国平均給与における機械学習（ML）エンジニアとデータエンジニアの差はいくらですか。,True,"14,744ドル",0.95,base_recovery,document_profession_numeric_difference,,6.814053,2
9,青葉与信マネジメントの最終報告資料の最新版になる際に修正されたもののうち、案件遂行に関連する変更を挙げてください。,True,案件遂行に関する実質的な変更なし（体制・スコープ・分析手順の内容は同一で、主にレイアウト・図表化の変更）。,0.96,remaining50_generalization,pptx_semantic_equivalence_diff,,2.381772,2
10,恒一会 かえで総合病院のtrain.xlsxにおいて、AG_ratioのヒストグラムで最も多いカウント数はいくつですか。,True,958,0.98,remaining50_generalization,histogram_count_recompute,,4.473271,2
11,青嶺不動産アセットマネジメントの報告資料の中で、太字、下線、イタリックのすべてに該当する箇所を抽出してください。,True,該当箇所なし,1.0,base_recovery,office_run_format_exact_none,,4.577163,1
12,蒼泉会 ひがし丘総合病院の報告資料_2025-07-08.docxにおいて、WBS観点の進捗状況の見出しがあるのは何ページですか。,True,2ページ,0.94,base_recovery,document_page_lookup,,24.818456,1
13,データアステル社の中でもっとも多くの案件にかかわっている人の内線番号を教えてください。,True,7104,0.98,remaining50_generalization,cross_project_staff_count_then_seat_ocr,,10.920732,1
14,青葉与信マネジメントの提案書_v1.pptxから提案書_v3.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,True,案件遂行に関する実質的な変更なし（体制・スコープ・分析手順の内容は同一で、主にレイアウト・図表化の変更）。,0.96,remaining50_generalization,pptx_semantic_equivalence_diff,,2.484248,2
15,東都人材プラットフォームのtrain.xlsxにおいて、Sheet1の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,True,Gender=Male、target=2、Age=40-44、Country=Spainで抽出した件数：12,0.98,audit_generalization,xlsx_yellow_pivot_recompute,,2.433017,2
16,青葉与信マネジメントの中間報告資料にて、黄色ハイライトかつ赤字となっている部分を抜き出してください。,True,0.589,0.99,audit_generalization,docx_run_format_intersection,,2.310609,1
17,AYMのMMにおいて、黄色ハイライトかつREDになっている数値を対象に、最初のMMから最後のMMまでの上昇率を計算してください。上昇率は （最後の値 - 最初の値） / 最初の値 × 100 で求め、小数第2位まで答えてください。,True,2.32%,0.98,audit_generalization,pdf_highlighted_metric_growth,,2.365832,2
18,白峰信用リスク評価の会議ID：M04の会議録にて、進捗サマリが記載されているページ番号を答えてください。,True,2ページ,0.98,remaining50_generalization,meeting_heading_page_ocr_lookup,,12.350643,1
19,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、2025-08-11から2025-09-09の間に開始日または終了日が設定されているタスクIDをすべて挙げてください。,True,T04、T05、T06、T07、T08、T09、T10、T11、T12、T13、T14、T15、T16、T17,0.98,base_recovery,table_date_range_filter,,4.509859,14
20,東都人材プラットフォームの報告資料_2025-08-18.pdf で、渡辺遥と藤田彩の2人が担当となっている優先タスクを抽出してください。,True,分析計画書初版作成,0.98,remaining50_generalization,priority_report_id_to_wbs_owner_join,,20.569729,2
21,青葉バイオメディカル機器のクライアントの主担当者の役職は何ですか。,True,人材戦略部長,1.0,base_recovery,contract_client_primary_role_extract,,4.490953,1
22,白峰信用リスク評価の01_eda_old.ipynbから01_eda.ipynbへの変更内容のうち、内容として変わっている点は何ですか。,True,記述統計の埋め込み画像が更新され、旧版のAttr1～Attr64に加えて、新版では目的変数classの記述統計が追加された。,0.98,remaining50_generalization,notebook_output_semantic_diff,,2.750389,2
23,ひがし丘の案件において、案件終了後のACTHが155時間10分だった場合の税込請求額は提案書内で記載の見込税込金額と比べて何円の減額になりますか。,True,"398,750円",0.98,remaining50_generalization,tm_hypothetical_billing_difference,,2.951081,2
24,分析データの中で、1つでも欠損値がある行数が最も多い案件を、主略称で答えてください。,True,AOMINE,0.98,remaining50_generalization,cross_project_missing_row_count,,2.596119,1
25,白峰信用リスク評価のtrain.xlsxにおいて、青色ハイライト部分の合計値を求めてください。四捨五入して整数で答えてください。,True,"-11,851,246",0.98,remaining50_generalization,xlsx_blue_fill_sum,,3.405331,3
26,2025-08-15 から 2025-09-07 の間に契約期間が重なっている案件の中で、契約期間が 40日 を超えている案件を、主略称ですべて挙げてください。,True,TOTO、AOMINE,0.98,remaining50_generalization,cross_project_contract_overlap_duration,,4.422148,2
27,恒一会 かえで総合病院の提案書において、スコープ対象外としている項目はいくつありますか。,True,7項目,0.98,remaining50_generalization,proposal_out_of_scope_count,,2.326675,1
28,蒼樹会 みなみ野女性医療センターの分析結果として予測に影響が高いと報告されている特徴量の中で、最もターゲットとの相関が高い特徴量を答えてください。,True,BMI,0.98,remaining50_generalization,reported_features_target_correlation,,19.955731,2
29,恒一会 かえで総合病院のtrain.xlsx内のTPのヒストグラムで、3番目にカウント数が多いビンの範囲を小数第6位までで答えてください。,True,"(6.088138, 6.288138]",0.98,remaining50_generalization,histogram_ranked_bin_recompute,,2.299124,2
30,青葉与信マネジメントの分析対象データにおいて、標準化されたloan_amntが0未満の行のうち、purpose=credit_cardに該当し、かつloan_amntがpurpose=credit_card全体の平均を上回る行の割合は何%ですか。小数第2位まで答えてください。,True,1.18%,0.99,audit_generalization,standardized_conditional_ratio,,2.302818,1
31,固定金額契約の中で、分析データ1行あたりの契約金額（税込）が最も高い案件を、主略称と1行あたりの金額で答えてください。1行あたりの金額は円単位で切り上げてください。,True,"MINAMINO、1,320円/行",0.98,remaining50_generalization,fixed_contract_amount_per_customer_row,,4.547644,2
32,青嶺不動産アセットマネジメントの分析出力 metrics.json の feature_selection.selected_columns に含まれている列のうち、分析コードで生成された数値交互作用特徴量の列名をすべて答えてください。,True,BOROUGH__x__BLOCK、BOROUGH__x__LOT、BOROUGH__x__ZIP CODE、BLOCK__x__LOT、BLOCK__x__ZIP CODE、LOT__x__ZIP CODE,0.96,base_recovery,json_code_generated_feature_names,,15.429813,2
33,青潮モビリティサービスの基礎分析.docxのグラフ2で、x=3のときの青色の折れ線のyの値を小数第5位で答えてください。,True,0.18696,0.98,remaining50_generalization,docx_embedded_chart_point_lookup,,2.352109,1
34,MINAMINOにおいて、M01時点では未完了で、M02までの間に完了したAIのうち、伊藤さんが担当しているものを抽出してください。,True,A08「分析用リポジトリ／環境・アクセス権の整備（データ格納先・アクセス確認）」、A09「週次定例のスケジュール確定（初回：2025-04-10）と招集送付」,0.98,remaining50_generalization,meeting_action_open_to_closed_owner_filter,,69.761583,2
35,京橋信用ソリューションズの京橋信用ソリューションズ株式会社_最終報告.pptxにおいて、F1スコアにてgradient_boostingに次ぐ順位のモデルの Accuracy はいくつですか。,True,0.90527,0.995,scoring_precision,pptx_displayed_ranked_metric,,2.250643,1
36,恒一会 かえで総合病院案件において、中間報告時点のF1スコア実測値と最終報告時点のF1スコア実測値の差を絶対値で答えてください。,True,0.09619113,0.98,remaining50_generalization,interim_report_vs_metrics_f1_difference,,3.402803,2
37,AOBMにおいて、見込金額（税込）と確定金額（税込）の差を、ESTHとACTHの差で割った1時間あたりの減少金額を計算してください。,True,"22,000円/時間",0.97,audit_generalization,contract_amount_hours_unit_difference,,2.578724,4
