index,question,answer,split,question_file,question_length,needs_差分比較,needs_Excel/表,needs_Word/PPT書式,needs_PDF/会議録,needs_コード/Notebook,needs_JSON/設定,needs_金額/計算,needs_日付/期間,needs_画像/グラフ,needs_社内用語,needs_複数資料照合,estimated_need_count,estimated_needs
0,青潮モビリティサービスの最終報告における、モビリティ需要の要因分析のページで、マーカーされている単語をすべて抜き出してください。,hr、weekday、weathersit、temp,valid,data/raw/share/share/質問回答/questions_valid.csv,64,False,False,True,False,False,False,False,False,False,False,True,2,"Word/PPT書式, 複数資料照合"
1,KSSのfigure_06.pngにおいて、dayによる件数推移とあわせて表示されているTG平均が最も低い日は何日ですか。,20日,valid,data/raw/share/share/質問回答/questions_valid.csv,61,False,True,False,False,False,False,True,True,True,False,True,5,"Excel/表, 金額/計算, 日付/期間, 画像/グラフ, 複数資料照合"
2,恒一会 かえで総合病院の提案書内で、重視するとされている評価指標を答えてください。,Recall,valid,data/raw/share/share/質問回答/questions_valid.csv,41,False,False,False,False,False,False,False,False,False,False,False,0,未分類
3,全案件で支払った税込金額をもとに、消費税額の総額を計算してください。,"4,394,250円",valid,data/raw/share/share/質問回答/questions_valid.csv,34,False,False,False,False,False,False,True,False,False,False,False,1,金額/計算
4,青嶺不動産アセットマネジメントの modeling.py において、前処理器の sparse_output が False になる model_type は何ですか。,hist_gradient_boosting,valid,data/raw/share/share/質問回答/questions_valid.csv,83,False,False,False,False,True,False,False,False,False,False,False,1,コード/Notebook
5,白峰信用リスク評価の最終報告書において、「プロジェクト目的とスコープ」内でAPI化はどの分類に記載されていますか。,対象外（契約明記）,valid,data/raw/share/share/質問回答/questions_valid.csv,57,False,False,False,False,False,False,False,False,False,False,False,0,未分類
6,恒一会 かえで総合病院のtrain.xlsx内の PivotTable で集計されている表から、ALPの平均が最も高いものの抽出条件を教えてください。,Gender=Male、disease=1、Age=68で抽出されたデータに対する平均 / ALP,valid,data/raw/share/share/質問回答/questions_valid.csv,75,False,True,False,False,False,False,True,False,False,False,False,2,"Excel/表, 金額/計算"
7,恒一会 かえで総合病院のプロジェクトデータ（train.csv）において、disease=1の女性の中で、ALT_GPTの平均値が最も高い年齢は何歳ですか。,32歳,valid,data/raw/share/share/質問回答/questions_valid.csv,78,False,False,False,False,False,False,True,False,False,False,False,1,金額/計算
8,蒼泉会 ひがし丘総合病院の契約条件において、仮に実績工数が見込工数の4分の3だった場合、最終請求金額（税込）は見込金額（税込）よりいくら少なくなりますか。,"1,168,750円",valid,data/raw/share/share/質問回答/questions_valid.csv,77,False,False,False,False,False,False,True,False,False,False,False,1,金額/計算
9,青嶺不動産アセットマネジメントの提案書について、oldフォルダ内の旧版と提案フォルダ直下の最新版を比較し、変更された箇所を変更前と変更後で答えてください。,QAレビューア：池田 直哉 → 小林 直樹,valid,data/raw/share/share/質問回答/questions_valid.csv,77,True,False,False,False,False,False,False,False,False,False,False,1,差分比較
10,蒼樹会 みなみ野女性医療センターの最終報告書にて、影響度が最も高いとされている残余リスクを抜き出してください。,0値の疑似欠損,valid,data/raw/share/share/質問回答/questions_valid.csv,55,False,False,False,False,False,False,False,False,False,False,True,1,複数資料照合
