dataset,question_id,failure,generated_by,source,confidence,requires_manual_review
test,2,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,43,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,49,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,72,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,82,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,83,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,25,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,44,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,58,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,69,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,9,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,14,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,16,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,40,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,57,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,62,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,74,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,96,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,2,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,43,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,49,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,72,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,82,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
test,83,correct_source_missing_from_top10,offline_topk_evaluation,human_source_labels,high,True
