dataset,question_id,top1_source_match,company_match,file_type_match,document_role_match,same_name_file_confusion,cross_company_contamination,explicit_filename_failure,companyless_question,generated_by,source,confidence,requires_manual_review
test,0,True,True,True,True,False,False,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,22,True,True,True,True,False,False,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,44,False,False,False,False,False,True,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,51,False,False,True,True,False,True,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,58,False,True,False,True,False,False,False,False,offline_source_label_comparison,labels+current_topk,medium,True
test,60,False,True,True,False,False,False,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,69,False,False,False,False,False,True,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,70,False,False,True,True,False,True,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,30,True,True,True,True,False,False,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,57,False,False,False,False,False,True,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,63,True,True,True,True,False,False,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,2,False,False,False,False,False,True,True,True,offline_source_label_comparison,labels+current_topk,medium,True
test,3,False,True,False,False,False,False,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,4,False,False,True,True,True,True,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,19,True,True,True,True,False,False,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,39,False,True,True,False,False,False,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,41,False,False,False,False,False,True,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,43,False,False,False,False,False,True,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,49,False,True,True,False,False,False,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,56,False,False,True,True,True,True,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,72,False,False,False,False,False,True,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,81,False,True,False,False,False,False,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,82,False,False,True,True,True,True,True,True,offline_source_label_comparison,labels+current_topk,medium,True
test,83,False,False,True,False,False,True,True,True,offline_source_label_comparison,labels+current_topk,medium,True
test,88,True,True,True,True,False,False,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,89,False,False,True,True,True,True,False,True,offline_source_label_comparison,labels+current_topk,medium,True
test,92,False,False,True,True,True,True,False,True,offline_source_label_comparison,labels+current_topk,medium,True
