document_id,extension,relative_path,extraction_method,size_bytes,text_length,line_count,text_preview
doc_77bf6380ca64f9f8,.xlsx,プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx,xlsx_sheet_values_formulas_basic_styles,6895012,226945,354,"# XLSXファイル: train.xlsx ## sheet: Sheet5 - size: rows=13, cols=5 - visible_state: visible row_00003: 値 | | | 値 | row_00004: 合計 / Attr1 | 404.7439376049982 | | 合計 / Attr11 | 651.3064629300005 row_00005: 合計 / Attr2 | 4311.140515387998 | | 合計 / Attr12 | 22527.873227200915 row_00006: 合計 / Attr3 | 959.1613502900029 | | 合計 / Attr13 | 5251.1294988700065 row_00007: 合計 / Attr4 | 90804.49533060042 | | 合計 / Attr14 | 496.7626821439983 row_00008: 合計 / Attr5 | -11850477.417452984 | | 合計 / Attr15 | 24702356.995..."
doc_91e9d27a66166438,.xlsx,プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.xlsx,xlsx_sheet_values_formulas_basic_styles,8632006,57931,275,"# XLSXファイル: train.xlsx ## sheet: Sheet2 - size: rows=22, cols=9 - visible_state: visible row_00001: 概要 | | | | | | | | row_00003: 回帰統計 | | | | | | | | row_00004: 重相関 R | 0.3540397785873083 | | | | | | | row_00005: 重決定 R2 | 0.12534416482215027 | | | | | | | row_00006: 補正 R2 | 0.12529782298495742 | | | | | | | row_00007: 標準誤差 | 727589.6467840917 | | | | | | | row_00008: 観測数 | 37751 | | | | | | | row_00010: 分散分析表 | | | | | | | | row_00011: | 自由度 | 変動 | 分散 | 観測された分散比 | 有意 F | | | row_00012: 回帰 | 2 |..."
doc_249cf01a3afcc3cd,.xlsx,プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,xlsx_sheet_values_formulas_basic_styles,3384776,52264,399,"# XLSXファイル: train.xlsx ## sheet: 回帰分析 - size: rows=20, cols=9 - visible_state: visible row_00001: 概要 | | | | | | | | row_00003: 回帰統計 | | | | | | | | row_00004: 重相関 R | 0.2748636840840207 | | | | | | | row_00005: 重決定 R2 | 0.0755500448282403 | | | | | | | row_00006: 補正 R2 | 0.0753915314614413 | | | | | | | row_00007: 標準誤差 | 0.3949104501024004 | | | | | | | row_00008: 観測数 | 17500 | | | | | | | row_00010: 分散分析表 | | | | | | | | row_00011: | 自由度 | 変動 | 分散 | 観測された分散比 | 有意 F | | | row_00012: 回帰 | 3 | 22..."
doc_6d71dbcda26d3285,.docx,プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,docx_paragraphs_tables_basic_styles,1701890,38748,813,# DOCXファイル: データサイエンティスト調査.docx ## paragraph_001 - style: Heading 1 データサイエンティストの収入水準、労働市場の構造、および技術的変遷に関する包括的調査報告 ### run_styles - bold/font_color=1F1F1F: データサイエンティストの収入水準、労働市場の構造、および技術的変遷に関する包括的調査報告 ## paragraph_002 - style: Heading 2 1. 導入：データ駆動型経済におけるデータサイエンティストの市場価値の根源 ### run_styles - bold/font_color=1F1F1F: 1. 導入：データ駆動型経済におけるデータサイエンティストの市場価値の根源 ## paragraph_003 - style: Normal 現代のグローバル経済において、データサイエンティストという職業は、単なる技術的専門職の枠を超え、企業の競争優位性を決定づける中核的な資本として位置づけられている。この現象の背景には、世界規模での爆発的な情報生成と、それを処理するため...
doc_4dee02739805d915,.xlsx,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.xlsx,xlsx_sheet_values_formulas_basic_styles,1584142,35938,253,"# XLSXファイル: train.xlsx ## sheet: グラフ - size: rows=1, cols=1 - visible_state: visible ## sheet: Pivot - size: rows=213, cols=11 - visible_state: visible - note: preview limited to rows=120, cols=11 row_00003: Gender | disease | Age | 平均 / T_Bil | 平均 / D_Bil | 平均 / ALP | 平均 / ALT_GPT | 平均 / AST_GOT | 平均 / TP | 平均 / Alb | 平均 / AG_ratio row_00004: Female | 0 | 7 | 0.796608648 | 0.232766111 | 272.0907195 | 56.99294059 | 39.05950777 | 6.097503121 | 3.693512962 | 0.999179104 row_00005: | | 12 | 0.92131..."
doc_f41d35c05b744024,.xlsx,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx,xlsx_sheet_values_formulas_basic_styles,170375,33969,336,"# XLSXファイル: train.xlsx ## sheet: Pivot - size: rows=88, cols=2 - visible_state: visible row_00003: 行ラベル | 平均 / MonthlyIncome row_00004: No | 6989.955882352941 row_00005: Female | 7216.258064516129 row_00006: Divorced | 7404.811320754717 row_00007: Life Sciences | 6090.4 row_00008: Marketing | 5994 row_00009: Medical | 8172.541666666667 row_00010: Other | 11808 row_00011: Technical Degree | 8227 row_00012: Married | 7408.56 row_00013: Human Resources | 9140 row_00014: Life Sciences | 6836.5681818..."
doc_23316aa4fc0dc75f,.xlsx,プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx,xlsx_sheet_values_formulas_basic_styles,19733,32183,143,"# XLSXファイル: スケジュール.xlsx ## sheet: WBSスケジュール_rev - size: rows=33, cols=13 - visible_state: visible - auto_filter: A1:M33 row_00001: No | タスクID | 種別 | フェーズ | タスク名 | 詳細・成果物 | 担当者 | 開始日 | 終了日 | 工数(h) | 依存タスク | ステータス | 備考 styles: A1:bold/fill=solid/font_color=FFFFFFFF; B1:bold/fill=solid/font_color=FFFFFFFF; C1:bold/fill=solid/font_color=FFFFFFFF; D1:bold/fill=solid/font_color=FFFFFFFF; E1:bold/fill=solid/font_color=FFFFFFFF; F1:bold/fill=solid/font_color=FFFFFFFF; G1:bold/fill=solid/font_color=FFFFF..."
doc_62bf4c63fcaac34f,.xlsx,プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx,xlsx_sheet_values_formulas_basic_styles,693027,23993,256,"# XLSXファイル: train.xlsx ## sheet: Sheet1 - size: rows=2251, cols=5 - visible_state: visible - note: preview limited to rows=120, cols=5 row_00001: Gender | target | Age | Country | 個数 row_00002: Female | 0 | 18-21 | Australia | 3 row_00003: | | | Belarus | 1 row_00004: | | | Brazil | 5 row_00005: | | | Canada | 1 row_00006: | | | China | 8 row_00007: | | | Colombia | 1 row_00008: | | | Egypt | 1 row_00009: | | | France | 3 row_00010: | | | Germany | 1 row_00011: | | | I do not wish to disclose my..."
doc_5c969b8a464a9d53,.xlsx,プロジェクト/白峰信用リスク評価株式会社/02.計画/スケジュール.xlsx,xlsx_sheet_values_formulas_basic_styles,22651,21563,176,"# XLSXファイル: スケジュール.xlsx ## sheet: WBS - size: rows=29, cols=16 - visible_state: visible - freeze_panes: A2 row_00001: タスクID | フェーズ | 大項目 | タスク名 | 詳細・補足 | 担当者 | 役割 | 開始日 | 終了日 | 稼働日数 | 依存タスク | 成果物 | ステータス | 進捗判定 | クリティカルパス | 備考 styles: A1:bold/fill=solid/font_color=FFFFFFFF; B1:bold/fill=solid/font_color=FFFFFFFF; C1:bold/fill=solid/font_color=FFFFFFFF; D1:bold/fill=solid/font_color=FFFFFFFF; E1:bold/fill=solid/font_color=FFFFFFFF; F1:bold/fill=solid/font_color=FFFFFFFF; G1:bold/fill=solid/font_c..."
doc_8e4f4443faa59ad3,.xlsx,プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx,xlsx_sheet_values_formulas_basic_styles,925766,18996,177,"# XLSXファイル: train.xlsx ## sheet: Sheet1 - size: rows=1, cols=1 - visible_state: visible ## sheet: Sheet2 - size: rows=11, cols=13 - visible_state: visible row_00003: 行ラベル | 平均 / temp | 平均 / atemp | 平均 / hum | 平均 / windspeed | 平均 / cnt | | | 行ラベル | 平均 / temp | 行ラベル | 平均 / windspeed | 平均 / cnt styles: I3:bold/fill=solid; J3:bold/fill=solid; K3:bold/fill=solid; L3:bold/fill=solid; M3:bold/fill=solid row_00004: 0 | 0.48274573517465574 | 0.465032168968318 | 0.6477822908204703 | 0.1818010560519889 | 1..."
doc_7c3571bb7f6be181,.xlsx,プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,xlsx_sheet_values_formulas_basic_styles,24592,18399,154,"# XLSXファイル: スケジュール.xlsx ## sheet: WBSタスク一覧 - size: rows=31, cols=14 - visible_state: visible - auto_filter: A1:N31 - freeze_panes: A2 row_00001: タスクID | フェーズNo. | フェーズ名 | タスク名 | 詳細・補足 | 担当者 | 開始日 | 終了日 | 日数 | 依存タスク | 成果物 | ステータス | CP | 備考 styles: A1:bold/fill=solid; B1:bold/fill=solid; C1:bold/fill=solid; D1:bold/fill=solid; E1:bold/fill=solid; F1:bold/fill=solid; G1:bold/fill=solid; H1:bold/fill=solid; I1:bold/fill=solid; J1:bold/fill=solid; K1:bold/fill=solid; L1:bold/fill=solid; M1:bold/fill=..."
