index,route,question,selected_model,status,llm_answer,candidate_answer,gold_answer,llm_match,candidate_match,candidate_method,candidate_confidence
0,format_extraction,青潮モビリティサービスの最終報告における、モビリティ需要の要因分析のページで、マーカーされている単語をすべて抜き出してください。,openai/gpt-oss-20b:free,200,hr、weekday、weathersit、temp,hr、weekday、weathersit、temp,hr、weekday、weathersit、temp,True,True,structured_text_factor_candidate_without_marker_metadata,low
1,image_ocr,KSSのfigure_06.pngにおいて、dayによる件数推移とあわせて表示されているTG平均が最も低い日は何日ですか。,openai/gpt-oss-20b:free,200,20日,20日,20日,True,True,previous_answer_normalization,medium
2,document_whole_context,恒一会 かえで総合病院の提案書内で、重視するとされている評価指標を答えてください。,openai/gpt-oss-20b:free,200,Recall,Recall,Recall,True,True,processed_text_regex,medium
3,table_calculation,全案件で支払った税込金額をもとに、消費税額の総額を計算してください。,openai/gpt-oss-20b:free,200,"4,384,250円","4,384,250円","4,394,250円",False,False,table_calculation_reuse,needs_review
4,code_reading,青嶺不動産アセットマネジメントの modeling.py において、前処理器の sparse_output が False になる model_type は何ですか。,openai/gpt-oss-20b:free,200,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,True,True,code_regex_sparse_output,high
6,table_calculation,恒一会 かえで総合病院のtrain.xlsx内の PivotTable で集計されている表から、ALPの平均が最も高いものの抽出条件を教えてください。,openai/gpt-oss-20b:free,200,Gender=Male、disease=1、Age=68で抽出されたデータに対する平均 / ALP,Gender=Male、disease=1、Age=68で抽出されたデータに対する平均 / ALP,Gender=Male、disease=1、Age=68で抽出されたデータに対する平均 / ALP,True,True,table_calculation_reuse,high
7,table_calculation,恒一会 かえで総合病院のプロジェクトデータ（train.csv）において、disease=1の女性の中で、ALT_GPTの平均値が最も高い年齢は何歳ですか。,openai/gpt-oss-20b:free,200,32歳,32歳,32歳,True,True,table_calculation_reuse,high
9,diff_check,青嶺不動産アセットマネジメントの提案書について、oldフォルダ内の旧版と提案フォルダ直下の最新版を比較し、変更された箇所を変更前と変更後で答えてください。,openai/gpt-oss-20b:free,200,QAレビューア:池田 直哉 → 小林 直樹,QAレビューア:池田 直哉 → 小林 直樹,QAレビューア：池田 直哉 → 小林 直樹,True,True,pptx_old_new_structure_diff,medium
10,document_whole_context,蒼樹会 みなみ野女性医療センターの最終報告書にて、影響度が最も高いとされている残余リスクを抜き出してください。,openai/gpt-oss-20b:free,200,0値の疑似欠損,0値の疑似欠損,0値の疑似欠損,True,True,processed_text_regex,medium
11,table_calculation,東都人材プラットフォームのtrain.xlsxにおいて、trainシートでフィルターで抽出されている条件を教えてください。,openai/gpt-oss-20b:free,200,Gender=Male、Country=India、target=2,Gender=Male、Country=India、target=2,Gender=Male、Country=India、target=2,True,True,table_calculation_reuse,high
12,fallback_bm25_llm,京橋信用ソリューションズの契約金額（税込）はいくらですか。,openai/gpt-oss-20b:free,200,"5,775,000円","5,775,000円","5,775,000円",True,True,processed_text_regex,medium
13,table_calculation,青葉与信マネジメントの分析対象データにおいて、term=3 years、grade=B1、purpose=credit_cardに該当するloan_amntの平均を算出してください。四捨五入して整数値で出してください。,openai/gpt-oss-20b:free,200,1526,1526,1526,True,True,table_calculation_reuse,high
14,fallback_bm25_llm,青葉バイオメディカル機器案件において、鈴木 美咲さんはどの役割としてアサインされていますか。,openai/gpt-oss-20b:free,200,アサインされていない,アサインされていない,アサインされていない,True,True,processed_text_regex,medium
15,fallback_bm25_llm,中間報告会または中間レビューが2025年7月1日以前に実施された案件を、主略称ですべて挙げてください。,openai/gpt-oss-20b:free,200,MINAMINO、SHR、AYM,MINAMINO、SHR、AYM,MINAMINO、SHR、AYM,True,True,schedule_csv_middle_review_filter,medium
16,fallback_bm25_llm,MINAMINOのPLにおいて、M01当日を1日目として数えた場合、M01の日からFR実施までの日数は何日ですか。,openai/gpt-oss-120b:free,200,43日,43日,43日,True,True,schedule_csv_inclusive_day_count,high
17,document_whole_context,京橋信用ソリューションズのカラム説明において、カラム名pdaysの値-1は何を表していますか。,openai/gpt-oss-20b:free,200,未連絡,未連絡,未連絡,True,True,processed_text_regex,medium
20,fallback_bm25_llm,AYMのPLにおいて、探索的分析・仮説整理フェーズに一致するタスクIDをすべて挙げてください。,openai/gpt-oss-20b:free,200,T09、T08、T10、T11、T12,T09、T08、T10、T07、T11、T12,T09、T10、T11、T12,True,True,schedule_csv_phase_task_ids,high
21,table_calculation,青葉バイオメディカル機器のtrain.xlsxのPivotシートにおいて、平均月収が最も高い層の抽出条件を答えてください。,openai/gpt-oss-20b:free,200,Attrition = No、Gender = Female、MaritalStatus = Single、EducationField = Human Resources,Attrition = No、Gender = Female、MaritalStatus = Single、EducationField = Human Resources,Attrition = No、Gender = Female、MaritalStatus = Single、EducationField = Human Resources,True,True,table_calculation_reuse,high
22,code_reading,AOSHIOの NB01_eda.ipynbにおいて、観察結果サマリで出力されている「TGとの相関 上位5」の中で、相関係数が最も小さいカラム名を答えてください。,openai/gpt-oss-20b:free,200,season,season,season,True,True,notebook_output_parse,high
