index,route,outcome,diagnostic_bucket,required_source_type,failure_area,next_fix,question,gold_answer,llm_answer,top1_record_type,top1_source_path,diagnosis_reason
0,format_extraction,unknown,unknown_answer,pptx,format_metadata_extraction,query_structure_json_format_runs,青潮モビリティサービスの最終報告における、モビリティ需要の要因分析のページで、マーカーされている単語をすべて抜き出してください。,hr、weekday、weathersit、temp,わかりません,pptx_slide,share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/00.提案/提案書.pptx,マーカー、ハイライト、色などの書式情報をstructure JSONから直接読む必要がある。
1,image_ocr,near_correct,partial_or_over_answer,image,answer_formatting,normalize_final_answer,KSSのfigure_06.pngにおいて、dayによる件数推移とあわせて表示されているTG平均が最も低い日は何日ですか。,20日,20,image,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/figure_06.png,回答は近いが、単位、表記、余計な語、または一部不足を整える必要がある。
2,document_whole_context,near_correct,partial_or_over_answer,pptx,answer_formatting,normalize_final_answer,恒一会 かえで総合病院の提案書内で、重視するとされている評価指標を答えてください。,Recall,"Recall, Precision, F1‑score, ROC‑AUC, Accuracy",generic_chunk,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx,回答は近いが、単位、表記、余計な語、または一部不足を整える必要がある。
3,table_calculation,wrong,weak_overlap_wrong,docx,calculation,implement_tabular_calculation_router,全案件で支払った税込金額をもとに、消費税額の総額を計算してください。,"4,394,250円",1875000円,generic_chunk,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx,表データの対象特定または計算処理が必要。現在のTop1根拠は share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx
4,code_reading,unknown,unknown_answer,py_or_ipynb,code_retrieval_or_output_extraction,target_py_ipynb_by_filename_then_extract,青嶺不動産アセットマネジメントの modeling.py において、前処理器の sparse_output が False になる model_type は何ですか。,hist_gradient_boosting,わかりません,metadata,share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/06.報告書/株式会社青嶺不動産アセットマネジメント_最終報告.pptx,対象コード/Notebookの特定が弱い。現在のTop1根拠は share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/06.報告書/株式会社青嶺不動産アセットマネジメント_最終報告.pptx
6,table_calculation,unknown,unknown_answer,xlsx_pivot,calculation,read_xlsx_pivot_or_recompute_from_sheet,恒一会 かえで総合病院のtrain.xlsx内の PivotTable で集計されている表から、ALPの平均が最も高いものの抽出条件を教えてください。,Gender=Male、disease=1、Age=68で抽出されたデータに対する平均 / ALP,わかりません,generic_chunk,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx,表データの対象特定または計算処理が必要。現在のTop1根拠は share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx
7,table_calculation,unknown,unknown_answer,csv,calculation,implement_pandas_csv_calculation,恒一会 かえで総合病院のプロジェクトデータ（train.csv）において、disease=1の女性の中で、ALT_GPTの平均値が最も高い年齢は何歳ですか。,32歳,わかりません,generic_chunk,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx,表データの対象特定または計算処理が必要。現在のTop1根拠は share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx
9,diff_check,wrong,wrong_evidence_or_missing_process,pptx_or_docx_versions,diff_pipeline,compare_old_new_documents,青嶺不動産アセットマネジメントの提案書について、oldフォルダ内の旧版と提案フォルダ直下の最新版を比較し、変更された箇所を変更前と変更後で答えてください。,QAレビューア：池田 直哉 → 小林 直樹,変更なし,metadata,share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/ニューヨーク不動産市場の最新動向調査.pdf,old/new文書の比較ロジックが未実装で、検索根拠だけでは差分を確定できない。
10,document_whole_context,unknown,unknown_answer,pptx,target_retrieval,improve_project_document_targeting,蒼樹会 みなみ野女性医療センターの最終報告書にて、影響度が最も高いとされている残余リスクを抜き出してください。,0値の疑似欠損,わかりません,metadata,share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/06.報告書/医療法人社団 蒼樹会 みなみ野女性医療センター_最終報告.pdf,対象文書の検索がずれている可能性が高い。現在のTop1根拠は share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/06.報告書/医療法人社団 蒼樹会 みなみ野女性医療センター_最終報告.pdf
11,table_calculation,unknown,unknown_answer,xlsx,calculation,implement_tabular_calculation_router,東都人材プラットフォームのtrain.xlsxにおいて、trainシートでフィルターで抽出されている条件を教えてください。,Gender=Male、Country=India、target=2,わかりません,generic_chunk,share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,表データの対象特定または計算処理が必要。現在のTop1根拠は share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx
