index,context_file,context_quality_for_llm,required_capability,answer_hit_top5,evidence_count,context_chars,removed_noise_lines,truncated_chars,source_paths,context_path
0,valid_000_context.md,needs_format_extraction,format_extraction,False,5,1733,2,0,プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/報告資料_2025-08-06.docx || プロジェクト/株式会社青潮モビリティサービス/00.提案/提案書.pptx || プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/報告資料_2025-07-23.docx || プロジェクト/株式会社青潮モビリティサービス/00.提案/提案書.pptx || プロジェクト/株式会社青潮モビリティサービス/06.報告書/株式会社青潮モビリティサービス_最終報告.pdf,EDA/EDA007/contexts/valid_000_context.md
1,valid_001_context.md,needs_image_ocr,"table_tool, image_ocr",False,5,1816,0,0,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx || プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb || プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/報告資料/報告資料_2025-08-06.pdf || プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/報告資料/報告資料_2025-08-06.pdf || プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx,EDA/EDA007/contexts/valid_001_context.md
2,valid_002_context.md,ready_for_llm,document_qa,True,5,1794,1,0,プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx || プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx || プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx || プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx || プロジェクト/医療法人社団 恒一会 かえで総合病院/00.提案/提案書.pptx,EDA/EDA007/contexts/valid_002_context.md
3,valid_003_context.md,needs_table_tool,table_tool,False,5,1642,1,0,社内管理/データアステル社内管理_決裁基準.md || プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/01.契約/契約書.docx || プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx || プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx || プロジェクト/京橋信用ソリューションズ株式会社/05.会議/報告資料/報告資料_2025-10-01.docx,EDA/EDA007/contexts/valid_003_context.md
4,valid_004_context.md,ready_for_llm,code_reading,True,4,1452,0,0,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/modeling.py || プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/modeling.py || プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/modeling.py || プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/modeling.py,EDA/EDA007/contexts/valid_004_context.md
5,valid_005_context.md,ready_for_llm,document_qa,True,5,1746,2,0,プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx || プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/06.報告書/医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf || プロジェクト/京橋信用ソリューションズ株式会社/06.報告書/京橋信用ソリューションズ株式会社_最終報告.pptx || プロジェクト/株式会社青葉バイオメディカル機器/06.報告書/株式会社青葉バイオメディカル機器_最終報告.pptx || プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx,EDA/EDA007/contexts/valid_005_context.md
6,valid_006_context.md,needs_table_tool,table_tool,False,5,1792,1,0,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.xlsx || プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.xlsx || プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.xlsx || プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx || プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.xlsx,EDA/EDA007/contexts/valid_006_context.md
7,valid_007_context.md,needs_table_tool,table_tool,False,5,1169,2,0,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv || プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/data/train.csv || プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv || プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/data/train.csv || プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,EDA/EDA007/contexts/valid_007_context.md
8,valid_008_context.md,needs_better_retrieval,document_qa,False,5,1822,0,0,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/00.提案/提案書.pptx || プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/01.契約/契約書.docx || プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/06.報告書/医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf || プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/報告資料/報告資料_2025-07-08.docx || プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/報告資料/報告資料_2025-07-08.docx,EDA/EDA007/contexts/valid_008_context.md
9,valid_009_context.md,needs_diff_tool,"diff_tool, document_qa",False,5,1760,2,0,プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/old/提案書.pptx || プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/ニューヨーク不動産市場の最新動向調査.pdf || プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/ニューヨーク不動産市場の最新動向調査.pdf || プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/会議録/会議録_2025-09-16.docx || プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/ニューヨーク不動産市場の最新動向調査.pdf,EDA/EDA007/contexts/valid_009_context.md
