index,route,subtype,question,answer_before,candidate_answer,answer_after,improved,adopted,method,confidence,needs_review,source_paths,evidence,answer_before_eda038,answer_after_eda038,improved_by_eda038,answer_before_eda039,answer_after_eda039,improved_by_eda039,answer_before_eda040,answer_after_eda040,improved_by_eda040,answer_before_eda041,answer_after_eda041,improved_by_eda041,answer_before_eda042,answer_after_eda042,improved_by_eda042,answer_before_eda043,answer_after_eda043,improved_by_eda043,answer_before_eda044,answer_after_eda044,improved_by_eda044,answer_before_eda046,answer_after_eda046,improved_by_eda046,is_unknown_after_eda046,new_route_candidate,why_existing_route_is_insufficient,recommended_next_action,status,finish_reason,llm_answer,used_paths,context_chars,failure_family,why_unknown,next_action,eda048_priority
18,document_whole_context,document_whole_context,白峰信用リスク評価の会議ID:M04の会議録にて、進捗サマリが記載されているページ番号を答えてください。,わかりません,,わかりません,False,False,not_implemented,none,True,,,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,True,meeting_action_status_lookup,会議録、報告資料、アクションID、チェックポイントを横断するroute,会議ID/日付/アクションIDをキーに会議録と報告資料を結合する,http_200,length,,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-05-13.pdf.md | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-05-27.pdf.md | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-06-17.pdf.md | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf.md | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/報告資料/報告資料_2025-05-13.pdf.md | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/報告資料/報告資料_2025-05-27.pdf.md | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/報告資料/報告資料_2025-06-17.pdf.md | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-05-13.pdf.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-05-27.pdf.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-06-17.pdf.structure.json,7405,meeting_action_structure,PDF/Word会議録の本文検索だけでは、会議ID、ページ、アクションID、コメント、完了状態の対応が構造化されていない。,会議録/報告資料をページ単位・表単位で再抽出し、meeting_id、date、page、action_id、status、comment_textを持つ台帳を作る。,high
33,image_ocr,line_search,青潮モビリティサービスの基礎分析.docxのグラフ2で、x=3のときの青色の折れ線のyの値を小数第5位で答えてください。,わかりません,,わかりません,False,False,not_implemented,none,True,,,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,True,chart_value_extraction,画像またはExcelグラフから系列名と座標値を読むroute,元データ、chart XML、画像OCR/Visionを組み合わせて値を抽出する,http_200,length,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/基礎分析.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/基礎分析.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/基礎分析.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/会議録/会議録_2025-07-23.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/会議録/会議録_2025-08-06.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/会議録/会議録_2025-08-26.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx.sheets/train.csv | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/報告資料_2025-07-23.docx.md,9729,chart_value,画像説明だけでは小数第5位の値を読めない。元Notebook/CSVまたは生成コードから系列値を再計算する必要がある。,Notebookの該当セルと元CSVを結合し、グラフ番号、系列色、x値からy値を計算するrouteを作る。Visionは図の特定補助に限定する。,high
38,table_calculation,line_search,社内管理のAPRに照らして、APR-M3が必要な案件を主略称ですべて挙げ、それらの契約金額(税込)の合計を答えてください。,わかりません,税込金額,わかりません,False,False,generic_line_search,medium,True,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/06.報告書/株式会社青嶺不動産アセットマネジメント_最終報告.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/00.提案/提案書.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v1.pptx.structure.json,"税込金額
(税込)
""税込""",わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,True,cross_project_contract_aggregation,複数案件の契約条件、APR、工数、データ行数を横断集計するroute,全案件の契約書/最終報告/スケジュール/社内管理基準を正規化して集計する,http_200,length,,data/processed/share/share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md | data/processed/share/share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md.structure.json | data/processed/share/share/共有ドライブ/社内管理/座席表.pptx.md | data/processed/share/share/共有ドライブ/社内管理/社内用語集.docx.md | data/processed/share/share/共有ドライブ/社内管理/座席表.pptx.structure.json | data/processed/share/share/共有ドライブ/社内管理/社内用語集.docx.structure.json | data/processed/share/share/共有ドライブ/社内管理/データアステル社内規定_パスワード導出規則.docx.md | data/processed/share/share/共有ドライブ/社内管理/データアステル社内規定_パスワード導出規則.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/01.契約/契約書.docx.md,8437,cross_project_structured_aggregation,複数案件の契約書、社内管理基準、計画表、担当者情報を横断して正規化する必要がある。検索文脈では比較対象の全件性が保証できない。,全案件の契約条件・略称・金額・担当者・工数を1つの正規化テーブルにし、質問ごとに集計式を実行する。,high
44,fallback_bm25_llm,line_search,IMにあるFMにおいて、佐藤さんから見て右側に座っている人の名前をすべて挙げてください。,わかりません,,わかりません,False,False,not_implemented,none,True,,,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,True,seating_chart_spatial_ocr,座席表画像から位置関係と氏名/EXTを読むroute,座席表画像をVision/OCRに送り、座席座標とラベルを構造化する,http_200,stop,情報が不足しています,data/processed/share/share/共有ドライブ/社内管理/座席表.pptx.md | data/processed/share/share/共有ドライブ/社内管理/座席表.pptx.structure.json | data/processed/share/share/共有ドライブ/社内管理/社内用語集.docx.md | data/processed/share/share/共有ドライブ/社内管理/社内用語集.docx.structure.json | data/processed/share/share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md | data/processed/share/share/共有ドライブ/社内管理/データアステル社内規定_パスワード導出規則.docx.md | data/processed/share/share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md.structure.json | data/processed/share/share/共有ドライブ/社内管理/データアステル社内規定_パスワード導出規則.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv.md,10832,spatial_image,座席表画像の人名/EXTだけでなく、左右・向かいを座標として読む必要がある。EDA047でも座席表は再実行時に空contentで安定しなかった。,座席表画像をVisionで再試行し、成功時の結果を保持したうえで、人名・EXT・x/y座標の表に変換する。PPTX shape座標から座席表を復元できるかも確認する。,high
46,fallback_bm25_llm,line_search,着手金が最も高い案件について、その案件のESの内線番号を教えてください。,わかりません,,わかりません,False,False,not_implemented,none,True,,,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,True,contract_alias_contact_lookup,契約書や社内用語の略称からCT/ESなどの役割を解決し、人物名や内線へつなぐroute,社内用語集、契約書、体制表、座席/連絡先情報を結合して検索する,http_200,length,,data/processed/share/share/共有ドライブ/社内管理/社内用語集.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/01.契約/契約書.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/01.契約/契約書.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/01.契約/契約書.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/01.契約/契約書.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書_draft.docx.structure.json,12000,cross_project_structured_aggregation,複数案件の契約書、社内管理基準、計画表、担当者情報を横断して正規化する必要がある。検索文脈では比較対象の全件性が保証できない。,全案件の契約条件・略称・金額・担当者・工数を1つの正規化テーブルにし、質問ごとに集計式を実行する。,high
49,document_whole_context,line_search,東都人材プラットフォームの会議録において、コメントがついている部分をそのまま抽出してください。,わかりません,,わかりません,False,False,not_implemented,none,True,,,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,True,meeting_action_status_lookup,会議録、報告資料、アクションID、チェックポイントを横断するroute,会議ID/日付/アクションIDをキーに会議録と報告資料を結合する,http_200,stop,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-08-18.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-09-08.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-09-26.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/報告資料/報告資料_2025-08-18.pdf.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/報告資料/報告資料_2025-09-08.pdf.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-08-18.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-09-08.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-09-26.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/報告資料/報告資料_2025-08-18.pdf.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/報告資料/報告資料_2025-09-08.pdf.structure.json,9545,meeting_action_structure,PDF/Word会議録の本文検索だけでは、会議ID、ページ、アクションID、コメント、完了状態の対応が構造化されていない。,会議録/報告資料をページ単位・表単位で再抽出し、meeting_id、date、page、action_id、status、comment_textを持つ台帳を作る。,high
52,fallback_bm25_llm,line_search,蒼樹会 みなみ野女性医療センターの今後の運用に関する記載の中で、データアステル側の役割として「別契約」と明記されているものを抽出してください。,わかりません,,わかりません,False,False,not_implemented,none,True,,,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,True,proposal_operation_clause_lookup,提案書/契約書内の運用条項やスケジュール項目を抽出するroute,PPTXスライド構造と契約条項をキーワードではなく節単位で検索する,http_200,stop,,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/カラム説明.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.csv.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.csv.data.csv,10009,pptx_table_or_clause_lookup,PowerPoint内の表・図形テキストの読み順や略称解決が弱く、該当するスケジュール/条項をピンポイントで拾えていない。,PPTX shapeの座標、表セル、スライド番号を保持した検索レコードを作り、略称から対象ファイルを絞る。,medium
58,fallback_bm25_llm,line_search,社内管理フォルダにあるFMにおいて、井上さんの向かいに座っている方のEXTを教えてください。,わかりません,,わかりません,False,False,not_implemented,none,True,,,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,True,seating_chart_spatial_ocr,座席表画像から位置関係と氏名/EXTを読むroute,座席表画像をVision/OCRに送り、座席座標とラベルを構造化する,http_200,stop,,data/processed/share/share/共有ドライブ/社内管理/座席表.pptx.md | data/processed/share/share/共有ドライブ/社内管理/座席表.pptx.structure.json | data/processed/share/share/共有ドライブ/社内管理/社内用語集.docx.md | data/processed/share/share/共有ドライブ/社内管理/社内用語集.docx.structure.json | data/processed/share/share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md | data/processed/share/share/共有ドライブ/社内管理/データアステル社内規定_パスワード導出規則.docx.md | data/processed/share/share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md.structure.json | data/processed/share/share/共有ドライブ/社内管理/データアステル社内規定_パスワード導出規則.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/カラム説明.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/カラム説明.md,7470,spatial_image,座席表画像の人名/EXTだけでなく、左右・向かいを座標として読む必要がある。EDA047でも座席表は再実行時に空contentで安定しなかった。,座席表画像をVisionで再試行し、成功時の結果を保持したうえで、人名・EXT・x/y座標の表に変換する。PPTX shape座標から座席表を復元できるかも確認する。,high
62,diff_check,version_diff,青葉与信マネジメントの最終報告資料における、モデル比較で上位2件のスコア差を生んでいる設定差分は何ですか。,わかりません,,わかりません,False,False,not_implemented,none,True,,,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,True,structured_diff_semantic_filter,old/new差分から案件遂行に関係する変更だけを抽出するroute,PPTX/XLSX/Notebookを構造単位で比較し、状態変更や設定差分を分類する,http_200,length,,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/カラム説明.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/01.契約/契約書.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v1.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v2.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v3.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx.md,11737,semantic_diff,文字列差分は取れているが、案件遂行に関連する変更だけを抽出する意味フィルタが弱い。Excel差分では状態変更の除外条件も必要。,old/newをスライド・シート・セクション単位で対応付け、数値/期日/体制/条件/モデル設定だけを差分候補としてLLMに渡す。,medium
75,fallback_bm25_llm,line_search,MINAMINOのPP内のPL案において、モデル構築は第何週に実施することになっていますか。,わかりません,,わかりません,False,False,not_implemented,none,True,,,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,わかりません,わかりません,False,True,proposal_operation_clause_lookup,提案書/契約書内の運用条項やスケジュール項目を抽出するroute,PPTXスライド構造と契約条項をキーワードではなく節単位で検索する,http_200,,,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/カラム説明.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.csv.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.csv.data.csv,10476,pptx_table_or_clause_lookup,PowerPoint内の表・図形テキストの読み順や略称解決が弱く、該当するスケジュール/条項をピンポイントで拾えていない。,PPTX shapeの座標、表セル、スライド番号を保持した検索レコードを作り、略称から対象ファイルを絞る。,medium
