dataset,question_id,candidate_rank,document_id,source_file,company,file_type,document_role,score,score_components,selection_reason,human_selected_match,label_available,generated_by,source,confidence,requires_manual_review
valid,0,1,file_69289dcd3ecabac0,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,株式会社東都人材プラットフォーム,.docx,proposal,15.5,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 2.5, ""content_bm25"": 8.0}","path_term_match, required_file_type_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,0,2,file_591a79dbe934438c,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/00.提案/提案書.pptx,株式会社青潮モビリティサービス,.pptx,proposal,15.5,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 2.5, ""content_bm25"": 8.0}","path_term_match, required_file_type_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,0,3,file_d2d39140cef077b8,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx,株式会社青潮モビリティサービス,.docx,contract,15.5,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 2.5, ""content_bm25"": 8.0}","path_term_match, required_file_type_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,0,4,file_ab51c6cb524e224f,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx,株式会社青潮モビリティサービス,.xlsx,schedule,15.5,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 2.5, ""content_bm25"": 8.0}","path_term_match, required_file_type_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,0,5,file_88270e387c6aa908,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/会議録/会議録_2025-08-26.docx,株式会社青潮モビリティサービス,.docx,meeting,15.2001,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 2.5, ""content_bm25"": 7.700093363118481}","path_term_match, required_file_type_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,0,6,file_ef6b3d40c6cbf84f,data/raw/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx,青葉与信マネジメント株式会社,.docx,meeting,13.6961,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 2.5, ""content_bm25"": 6.196088474077062}","path_term_match, required_file_type_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,0,7,file_8fb18453764bc6db,data/raw/share/share/共有ドライブ/社内管理/社内用語集.docx,社内管理,.docx,management,13.4873,"{""required_file_type_match"": 3.0, ""route_kind_match"": 2.5, ""content_bm25"": 7.987261913394423}","required_file_type_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,0,8,file_a452ac5e9344e277,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/06.報告書/株式会社青葉バイオメディカル機器_最終報告.pptx,株式会社青葉バイオメディカル機器,.pptx,report,13.4808,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 2.5, ""content_bm25"": 5.980817547301424}","path_term_match, required_file_type_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,0,9,file_ef106a562ea6c4f4,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/ニューヨーク不動産市場の最新動向調査.pdf,株式会社青嶺不動産アセットマネジメント,.pdf,proposal,13.0,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""content_bm25"": 8.0}","path_term_match, required_file_type_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,0,10,file_f744d2ce7a347ad2,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/notebooks/01_eda.ipynb,株式会社青潮モビリティサービス,.ipynb,analysis,13.0,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""content_bm25"": 8.0}","path_term_match, required_file_type_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
