split,index,question,answer,route
valid,0,青潮モビリティサービスの最終報告における、モビリティ需要の要因分析のページで、マーカーされている単語をすべて抜き出してください。,hr、weekday、weathersit、temp,format_extraction
valid,1,KSSのfigure_06.pngにおいて、dayによる件数推移とあわせて表示されているTG平均が最も低い日は何日ですか。,20日,image_ocr
valid,2,恒一会 かえで総合病院の提案書内で、重視するとされている評価指標を答えてください。,Recall,document_whole_context
valid,3,全案件で支払った税込金額をもとに、消費税額の総額を計算してください。,"4,394,250円",table_calculation
valid,4,青嶺不動産アセットマネジメントの modeling.py において、前処理器の sparse_output が False になる model_type は何ですか。,hist_gradient_boosting,code_reading
valid,5,白峰信用リスク評価の最終報告書において、「プロジェクト目的とスコープ」内でAPI化はどの分類に記載されていますか。,対象外（契約明記）,document_whole_context
valid,6,恒一会 かえで総合病院のtrain.xlsx内の PivotTable で集計されている表から、ALPの平均が最も高いものの抽出条件を教えてください。,Gender=Male、disease=1、Age=68で抽出されたデータに対する平均 / ALP,table_calculation
valid,7,恒一会 かえで総合病院のプロジェクトデータ（train.csv）において、disease=1の女性の中で、ALT_GPTの平均値が最も高い年齢は何歳ですか。,32歳,table_calculation
valid,8,蒼泉会 ひがし丘総合病院の契約条件において、仮に実績工数が見込工数の4分の3だった場合、最終請求金額（税込）は見込金額（税込）よりいくら少なくなりますか。,"1,168,750円",fallback_bm25_llm
valid,9,青嶺不動産アセットマネジメントの提案書について、oldフォルダ内の旧版と提案フォルダ直下の最新版を比較し、変更された箇所を変更前と変更後で答えてください。,QAレビューア：池田 直哉 → 小林 直樹,diff_check
valid,10,蒼樹会 みなみ野女性医療センターの最終報告書にて、影響度が最も高いとされている残余リスクを抜き出してください。,0値の疑似欠損,document_whole_context
valid,11,東都人材プラットフォームのtrain.xlsxにおいて、trainシートでフィルターで抽出されている条件を教えてください。,Gender=Male、Country=India、target=2,table_calculation
valid,12,京橋信用ソリューションズの契約金額（税込）はいくらですか。,"5,775,000円",fallback_bm25_llm
valid,13,青葉与信マネジメントの分析対象データにおいて、term=3 years、grade=B1、purpose=credit_cardに該当するloan_amntの平均を算出してください。四捨五入して整数値で出してください。,1526,table_calculation
valid,14,青葉バイオメディカル機器案件において、鈴木 美咲さんはどの役割としてアサインされていますか。,アサインされていない,fallback_bm25_llm
valid,15,中間報告会または中間レビューが2025年7月1日以前に実施された案件を、主略称ですべて挙げてください。,MINAMINO、SHR、AYM,fallback_bm25_llm
valid,16,MINAMINOのPLにおいて、M01当日を1日目として数えた場合、M01の日からFR実施までの日数は何日ですか。,43日,fallback_bm25_llm
valid,17,京橋信用ソリューションズのカラム説明において、カラム名pdaysの値-1は何を表していますか。,未連絡,document_whole_context
valid,18,東都のCTにおいて、全14章のうち「本業務の対象データ、前提および制約」が記載されている章番号を数字で答えてください。,3,fallback_bm25_llm
valid,19,青嶺不動産アセットマネジメント案件で分析設計を担当する人の名前をフルネームで抽出してください。,渡辺 遥,fallback_bm25_llm
valid,20,AYMのPLにおいて、探索的分析・仮説整理フェーズに一致するタスクIDをすべて挙げてください。,T09、T10、T11、T12,fallback_bm25_llm
valid,21,青葉バイオメディカル機器のtrain.xlsxのPivotシートにおいて、平均月収が最も高い層の抽出条件を答えてください。,Attrition = No、Gender = Female、MaritalStatus = Single、EducationField = Human Resources,table_calculation
valid,22,AOSHIOの NB01_eda.ipynbにおいて、観察結果サマリで出力されている「TGとの相関 上位5」の中で、相関係数が最も小さいカラム名を答えてください。,season,code_reading
valid,23,AOSHIOのM02資料（docx）において、黄色でハイライトされている部分をすべて抜き出してください。,"見込金額（税込）: 4,675,000 JPY",format_extraction
valid,24,白峰信用リスク評価の 01_eda.ipynb にある特徴量相関ヒートマップの図で可視化されている特徴量のうち、classとの相関係数の絶対値が最も小さい特徴量名を答えてください。,Attr7,code_reading
valid,25,東都人材プラットフォームの提案書P7において、赤で強調されている箇所の文字列を抜き出してください。,1. データ理解・EDA,document_whole_context
valid,26,青葉バイオメディカル機器のtrain.csvにおいて、EducationFieldがMarketingかつMonthlyIncomeが10000より大きいデータを抽出し、Ageの平均値を計算してください。その平均値に最も近い年齢のidをすべて答えてください。,train_0077、train_0216、train_0242、train_0722,table_calculation
valid,27,蒼泉会 ひがし丘総合病院案件において、中間報告資料に記載されたMacro F1スコアの詳細値と、最終分析出力metrics.jsonに記録されているMacro F1スコアの詳細値を用いて、改善幅を小数第6位まで答えてください。,0.010301,document_whole_context
valid,28,蒼泉会の分析コードにおいて、CATは dtype とユニーク数の条件でどのように判定していますか。,object、string、categoricaldtype の列を候補とし、欠損を除いたユニーク数が50未満ならカテゴリ特徴量として採用している。,code_reading
valid,29,蒼樹会 みなみ野女性医療センターの契約書第8条において、本契約終了後に秘密保持義務が存続する期間は何年間ですか。,3年間,document_whole_context
test,0,白峰信用リスク評価の提案書old.pptxから提案書.pptxへの更新内容のうち、案件遂行に関連する実質的な変更を挙げてください。,,diff_check
test,1,恒一会 かえで総合病院の最終報告書old版と最新版を比較したとき、案件遂行に関連する実質的な変更を挙げてください。,,diff_check
test,2,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、オレンジにハイライトされている行のタスク名をすべて答えてください。,,format_extraction
test,3,恒一会 かえで総合病院の契約書において、太字で記載されている箇所のうち、日付以外のものをすべて抽出してください。,,format_extraction
test,4,蒼泉会 ひがし丘総合病院の01_eda.ipynbを確認して、目的変数と相関が最も高い数値特徴量を教えてください。,,code_reading
test,5,青潮モビリティサービスの最終報告にて最良モデルとしているモデルのパラメータであるmax_depthはいくらに設定されていますか。,,fallback_bm25_llm
test,6,蒼泉会 ひがし丘総合病院案件において、提案時の税込み見込み金額と最終請求金額の差額はいくらですか。,,table_calculation
test,7,青潮モビリティサービスの基礎分析.pptxにおいて、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,,format_extraction
test,8,東都人材プラットフォームのデータサイエンティスト調査資料において、米国平均給与における機械学習（ML）エンジニアとデータエンジニアの差はいくらですか。,,table_calculation
test,9,青葉与信マネジメントの最終報告資料の最新版になる際に修正されたもののうち、案件遂行に関連する変更を挙げてください。,,diff_check
test,10,恒一会 かえで総合病院のtrain.xlsxにおいて、AG_ratioのヒストグラムで最も多いカウント数はいくつですか。,,table_calculation
test,11,青嶺不動産アセットマネジメントの報告資料の中で、太字、下線、イタリックのすべてに該当する箇所を抽出してください。,,format_extraction
test,12,蒼泉会 ひがし丘総合病院の報告資料_2025-07-08.docxにおいて、WBS観点の進捗状況の見出しがあるのは何ページですか。,,document_whole_context
test,13,データアステル社の中でもっとも多くの案件にかかわっている人の内線番号を教えてください。,,fallback_bm25_llm
test,14,青葉与信マネジメントの提案書_v1.pptxから提案書_v3.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,,diff_check
test,15,東都人材プラットフォームのtrain.xlsxにおいて、Sheet1の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,,format_extraction
test,16,青葉与信マネジメントの中間報告資料にて、黄色ハイライトかつ赤字となっている部分を抜き出してください。,,format_extraction
test,17,AYMのMMにおいて、黄色ハイライトかつREDになっている数値を対象に、最初のMMから最後のMMまでの上昇率を計算してください。上昇率は （最後の値 - 最初の値） / 最初の値 × 100 で求め、小数第2位まで答えてください。,,format_extraction
