question_id,question_signal_class,correct_document,initial_rank,why_question_only_is_insufficient,document_content_needed,structural_information_needed,whether_top5_probe_would_help,whether_vision_is_needed,likely_executor,missing_capability,recommended_selection_strategy,generated_by,source,confidence,requires_manual_review
2,explicit_document | structure_or_style_required,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",ハイライト,False,False,structure_or_style,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
3,structure_or_style_required,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw-kaede20250902.docx,8,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",太字,False,False,structure_or_style,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
4,explicit_document,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,4,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,True,False,document_lookup,document_probe,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
9,semantic_document_guess,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,False,False,table_lookup,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
16,structure_or_style_required | vision_required | content_probe_required | insufficient_question_signal,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",色 | ハイライト,False,True,structure_or_style,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
25,explicit_document | structure_or_style_required | vision_required,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",色 | ハイライト,False,True,calculation,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
30,content_probe_required | insufficient_question_signal,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv,1,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,True,False,calculation,document_probe,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
39,explicit_document | vision_required,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx,2,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,True,True,document_lookup,document_probe,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
40,content_probe_required | insufficient_question_signal,data\processed\share\share\契約管理\project_contract_periods.csv | data\processed\share\share\契約管理\project_payment_schedule.csv | data\processed\share\share\契約管理\payment_monthly_totals.csv,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,False,False,document_lookup,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
41,content_probe_required | insufficient_question_signal,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx,10,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,False,False,table_lookup,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
