project,document_kind,source_path,file_name,meeting_id,date,page,has_progress_summary,has_action,has_comment,has_checkpoint,text
京橋信用ソリューションズ株式会社,meeting_minutes,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-01.pdf.md,会議録_2025-10-01.pdf.md,M01,2025-10-01,1,False,False,False,False,会議録 1. 会議情報 • 会議 ID: M01 • 会議種別: キックオフ • 日時: 2025-10-01 • 目的: プロジェクト開始にあたり目的・KPI・スコープ・体制・レビュー計 画・データ受領前提を確認し、単一正本と進行ルールを確定する • 開催形式: 会議(資料共有有) • 出席者: o 京橋信用ソリューションズ株式会社 リスク管理部 与信モデル統括課: 高橋 恒一(課長)、(リスク管理部 与信モデル統括課 担当者) o 株式会社データアステル(データサイエンス部):佐藤 健一(PM)、 鈴木 美咲(リード DS)、斎藤 悠斗(データエンジニア)、井上 里 奈(ビジネスアナリスト) • 記録: 佐藤 健一(議事録作成担当) 2. 議題 1. 業務目的・活用場面の確定(接触優先順位付け支援を主目的) 2. 対象データ/カラム定義の正式確認と受領トレース確認
京橋信用ソリューションズ株式会社,meeting_minutes,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-01.pdf.md,会議録_2025-10-01.pdf.md,M02,2025-10-01,2,False,False,False,False,"3. 単一正本(本プロジェクト概要書)と進行ルール(週次、版管理、監査証 跡)の確定 4. レビュー日程および検収窓口の確定(MS2/M02 等) 5. 初期スケジュール・支払(着手金)確認 6. 分析着手前の前提確認とレビュー計画の共有 3. 主要議論 • 業務目的: 「定期預金等の契約有無( y)予測による接触優先順位付け支援」 および、実務で説明可能な示唆提供で合意。評価指標は業務 KPI(上位スコ ア群の契約率向上等)を優先しつつ、AUC 等の分析 KPI を併用する。承認 窓口は高橋課長。 • 対象データ/カラム: data.csv(27,128 件、18 カラム)および data.md を正 本定義とすることを確認。受領トレース(artifacts 等)を監査証跡に登録す る運用を確認。 • 単一正本と進行ルール: 本プロジェクト概要書を単一正本とし、以後の成果 物はこれに整合させる。週次進捗(毎週月曜 10:00)・版管理・監査証跡台 帳を運用する。 • レビュー日程/検収窓口: 週次進捗 2025-10-06、MS2(EDA 完了) 2025-10- 14、M02(中間報告) 2025-10-29、最終報告・検収 2025-11-11 を主要節目 として承認。検収窓口は高橋 恒一(課長)で確定。 • データ/分析上の論点: duration は情報リークの懸念があるため「事前判断 モデル(除外)」と「事後分析モデル(含有)」の 2 系統で評価する方針 で合意。pdays=-1 や unknown は業務上有効なカテゴリとして扱う方針を確"
京橋信用ソリューションズ株式会社,meeting_minutes,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-01.pdf.md,会議録_2025-10-01.pdf.md,M01,2025-10-01,3,True,False,False,False,認。 • 支払確認: 着手金(50%)支払期日 2025-10-08 を確認。経理手続きフォロー を高橋課長と連携して実施する。 • 初期成果物と現状: データ受領、カラム定義確認、レビュー計画、監査証跡 方針を共有。分析結果の共有は次回以降とする。 4. 進捗サマリ • MS1(キックオフ)実施: 完了(本議事録で決定事項を正式記録) • データ受領: data.csv を受領済。受領トレースを監査証跡に登録予定。 • EDA/予備モデル: キックオフ時点では未共有。EDA の正式レビューは MS2 (2025-10-14)で実施する。 • 当面の課題: M01 の正式議事録化、カラム定義の署名・受領記録、EDA レビ ューの完了、着手金支払確認。 5. 決定事項 1. 業務目的と活用場面: 「顧客接触の優先順位付け支援」を主目的とすること を確定(承認: 高橋 恒一)。 2. 対象データとカラム定義: data.csv と data.md を正式カラム定義・正本デー タとすることを確定。受領トレースを監査証跡に記録する。 3. レビュー日程と検収窓口: 週次進捗(初回 2025-10-06)、MS2 EDA 完了 2025-10-14、M02 中間報告 2025-10-29、最終報告・検収 2025-11-11。検収 窓口は高橋 恒一(課長)。
京橋信用ソリューションズ株式会社,meeting_minutes,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-01.pdf.md,会議録_2025-10-01.pdf.md,M01,2025-10-01,4,False,True,False,False,4. 単一正本と進行ルール: 本プロジェクト概要書を単一正本とし、版管理・監 査証跡台帳を運用、週次で進捗報告する運用を確定(責任: 佐藤 健一)。 5. duration の扱い: 情報リークリスクを踏まえ、(A) 事前判断用途:duration 除外、(B) 事後分析用途:duration 含有、の 2 系統で評価することを確定。 6. 支払関連: 着手金(50%)支払期日 2025-10-08 を確認。 変更: なし(本会議で新たに上記を正式決定。 prior meeting history: none) 6. アクションアイテム ID Action Owner Due Date Status A01 M01 議事録作 成・配布(単 一正本への登 録含む) 佐藤 健一 2025-10-03 Open A02 単一正本(プ ロジェクト概 要書)を版管 理リポジトリ に登録し、ア クセス権・監 査証跡台帳を 初期化 佐藤 健一 2025-10-03 Open A03 対象データ (data.csv) 受領の最終記 録および data.md の正 式受領(署名/ 受領トレー 斎藤 悠斗 / 井 上 里奈 2025-10-02 Open
京橋信用ソリューションズ株式会社,meeting_minutes,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-01.pdf.md,会議録_2025-10-01.pdf.md,M02,2025-10-01,5,False,True,False,False,ID Action Owner Due Date Status ス) A04 EDA 実行完了 と EDA レビュ ー資料作成 (EDA 結果・ 論点一覧を含 む) 鈴木 美咲 / 井 上 里奈 2025-10-14 In Progress A05 pdays=-1、 unknown カテ ゴリ、 duration の扱 い方針(事前/ 事後モデル定 義含む)を最 終決定し中間 報告で提示 鈴木 美咲 2025-10-29 Open A06 着手金請求・ 支払フォロー (契約条件に 基づく請求書 送付・経理確 認) 佐藤 健一 / 高 橋 恒一 2025-10-08 Open A07 週次進捗・ MS2・M02 の 会議招集(招 待送付・アジ ェンダ確定) 佐藤 健一 2025-10-03 Open A08 artifacts/run_s ummary.json 斎藤 悠斗 2025-10-03 Open
京橋信用ソリューションズ株式会社,meeting_minutes,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-01.pdf.md,会議録_2025-10-01.pdf.md,M01,2025-10-01,6,False,True,False,False,ID Action Owner Due Date Status ・metrics.json の再現手順確 認と出力保全 (再現性トレ ースの初期登 録) (注)全アクションは期日までに担当者が進捗を週次で報告。期限延長の場合は 早めに PM 宛に変更要求を提出すること。 7. リスクと懸念事項 • R1: クラス不均衡による評価誤認(契約率 11.7%) o 影響: Accuracy 単独評価による誤判断の可能性。 o 対策: AUC、Precision/Recall、上位スコア群契約率等複数指標で評価、 業務側レビューでの指標確認。 o 担当: 鈴木 美咲 / 井上 里奈 • R2: duration による情報リーク(接触後情報) o 影響: 事前判断用途での過剰評価。 o 対策: 事前判断モデルと事後分析モデルの分離評価を必須化。A05 で 方針確定。 o 担当: 鈴木 美咲 • R3: 議事録・承認の未完(文書化・署名遅延) → 意思決定遅延リスク o 影響: 以降フェーズの仕様確定遅延。
京橋信用ソリューションズ株式会社,meeting_minutes,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-01.pdf.md,会議録_2025-10-01.pdf.md,M01,2025-10-01,7,False,True,False,False,o 対策: A01/A02/A03 により文書化・版管理を即時実施、承認フローは 高橋課長の署名を取得。 o 担当: 佐藤 健一 / 高橋 恒一 • R4: 着手金支払遅延(2025-10-08) o 影響: プロジェクト資金フロー・着手作業に影響。 o 対策: A06 にて請求・経理確認を実施。早期連絡を依頼。 o 担当: 佐藤 健一 / 高橋 恒一 • R5: 単一データソース依存による説明力不足 o 影響: 業務判断での補完データ不足による精度限界。 o 対策: 成果物で「優先順位付け支援」として範囲を明示し、追加デー タは変更管理で対応。 o 担当: 井上 里奈 • 未解決事項(Open Issues): 1. M01 議事録の正式承認(高橋課長の署名・単一正本への確定)が未 完 → A01/A02 で対応。 2. duration の最終扱い(運用ルールとしての明文化) → A05 で中間報 告にて最終決定。 3. EDA に関する追加確認項目(外れ値処理方針の詳細) → A04 で整理。 8. 次回会議計画 • 次回定例(週次進捗): 2025-10-06(月)10:00 — 主議題: データ受領トレー ス確認、T07/T08 進捗、着手金支払状況確認。招集: 佐藤 健一。
京橋信用ソリューションズ株式会社,meeting_minutes,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-01.pdf.md,会議録_2025-10-01.pdf.md,M02,2025-10-01,8,False,True,False,False,• MS2 EDA 完了チェック: 2025-10-14 — 主議題: EDA 結果レビュー、前処理方 針案承認。 • M02 中間報告: 2025-10-29 — 主議題: 前処理・ベースライン・duration 方針 ・変更管理判定。 • 招集・アジェンダ送付責任: 佐藤 健一(A07) • 備考: 上記日程は本議事録により確定。出席者はレビュー資料を事前配布の うえ参加すること。 以上(配布先は出席者および関係者)。
京橋信用ソリューションズ株式会社,meeting_minutes,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-29.pdf.md,会議録_2025-10-29.pdf.md,M02,2025-10-29,1,False,False,False,False,会議録 1. 会議情報 • 会議 ID: M02 • 会議種別: 中間報告 • 日時: 2025-10-29 • 目的: EDA 前処理方針ベースライン評価結果を共有し、duration 含有/非含 有の用途分離および説明性・監査観点の論点を整理する • 出席者: o 京橋信用ソリューションズ株式会社:高橋 恒一(課長) o 株式会社データアステル:佐藤 健一(PM)、鈴木 美咲(リード DS)、井上 里奈(BA)、斎藤 悠斗(データエンジニア)、池田 恒 一(QA) 2. 議題 1. EDA・モデル比較結果(leaderboard.csv)結果の共有 2. 前処理方針(pdays=-1 / unknown / duration 等)の最終化 3. 比較対象モデルと最終評価軸の確定 4. 追加確認事項の整理と最終報告への反映方針 5. オープンアクション/リスク確認
京橋信用ソリューションズ株式会社,meeting_minutes,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-29.pdf.md,会議録_2025-10-29.pdf.md,M02,2025-10-29,2,False,False,False,False,"3. 主要議論 • EDA/ベースライン結果(要旨) o データ: 27,128 件、カラム 18 o 学習行数 train_rows=21,702、test_rows=5,426 o trial_index 1〜5 の比較結果では、random_forest が F1(macro)=0.71486、Accuracy=0.90527 で最良だったことを確認。 o artifacts/analysis_outputs/experiments/leaderboard.csv を参照し、 trial 比較結果を共有。 • 前処理方針(特別値取扱い) o pdays=-1 は「未連絡」の業務上有効値としてフラグ化/保持(欠損 扱いしない) o unknown は欠損ではなく独立カテゴリとして保持(補完しない) o 決定根拠: 業務定義・EDA での有意差検証を踏まえた運用観点 • duration の扱い(情報リーク懸念) o 用途別にモデルを分離する方針で合意 ▪ 事前判断モデル(運用での接触先決定等): duration を除外 ▪ 事後分析モデル(効果検証・深掘り): duration を含有 o 監査・運用設計上、両系統を成果物で明確に区分・説明する運用が 必要 • 比較対象モデルと評価軸 o 比較対象モデル(合意): ロジスティック回帰(説明性重視)、 Gradient Boosting(性能重視)、必要時ランダムフォレスト(補助)"
