question_id,strict_exact,pipeline_final_exact,executor_source_override,selection_method,route,reason_category,selected_documents,executor_selected_documents,generated_by,source,confidence,requires_manual_review
2,True,True,False,heuristic,format_check | table_lookup,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,offline_gate19_factor_audit,planning artifacts,medium,True
3,True,True,False,heuristic,format_check,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw-kaede20250902.docx,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw-kaede20250902.docx,offline_gate19_factor_audit,planning artifacts,medium,True
4,True,True,False,heuristic,calculation_planning | code_static_lookup,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,offline_gate19_factor_audit,planning artifacts,medium,True
19,True,True,False,heuristic,table_lookup,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,offline_gate19_factor_audit,planning artifacts,medium,True
39,True,True,False,heuristic,table_lookup | image_or_chart_check,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx,offline_gate19_factor_audit,planning artifacts,medium,True
41,True,True,False,heuristic,table_lookup | document_lookup | document_lookup | calculation_planning,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx,offline_gate19_factor_audit,planning artifacts,medium,True
43,True,True,False,heuristic,document_lookup,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/01.契約/契約書.docx,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/01.契約/契約書.docx,offline_gate19_factor_audit,planning artifacts,medium,True
49,True,True,False,heuristic,format_check,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-08-18.docx,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-08-18.docx,offline_gate19_factor_audit,planning artifacts,medium,True
56,True,True,False,heuristic,code_static_lookup,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,offline_gate19_factor_audit,planning artifacts,medium,True
72,False,True,True,heuristic,cross_file_aggregation | calculation_planning,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/03.データ/カラム説明.md,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx | data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,offline_gate19_factor_audit,planning artifacts,medium,True
81,True,True,False,heuristic,format_check,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,offline_gate19_factor_audit,planning artifacts,medium,True
82,True,True,False,heuristic,format_check | table_lookup,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx,offline_gate19_factor_audit,planning artifacts,medium,True
83,True,True,False,heuristic,table_lookup,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx,offline_gate19_factor_audit,planning artifacts,medium,True
88,True,True,False,heuristic,document_lookup,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx,offline_gate19_factor_audit,planning artifacts,medium,True
89,True,True,False,heuristic,table_lookup,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,offline_gate19_factor_audit,planning artifacts,medium,True
92,False,True,True,heuristic,cross_file_aggregation | calculation_planning,source_requirement_and_content_verification,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/02.計画/スケジュール.xlsx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-16.docx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-02.docx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-30.docx,offline_gate19_factor_audit,planning artifacts,medium,True
