index,question,answer,answer_status,source_stage,source_confidence,source_paths,source_count,source_note,evidence
0,白峰信用リスク評価の提案書old.pptxから提案書.pptxへの更新内容のうち、案件遂行に関連する実質的な変更を挙げてください。,変更なし,answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書old.pptx,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
1,恒一会 かえで総合病院の最終報告書old版と最新版を比較したとき、案件遂行に関連する実質的な変更を挙げてください。,AUC-ROC = 0.905 / Accuracy = 0.833、AUC-ROC、Accuracy、F1-macro、線形系と非線形モデルを比較,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告_old.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告.pptx.md,2,EDA046の改善ログ,"線形系と非線形モデルを比較
AUC-ROC: +0.080ポイント改善 / F1-macro: +0.096ポイント改善 / Accuracy: +0.097ポイント改善 — 非線形モデル採用により全指標で大幅向上
- title: 中間段階 vs 最終モデル性能比較"
2,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、オレンジにハイライトされている行のタスク名をすべて答えてください。,プロジェクトキックオフ実施、中間報告会実施、最終報告会実施,answered,EDA035,medium,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.structure.json,1,EDA035の改善ログ,"data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.structure.json スケジュール fill=FFF2E0D0: {'No.': '1.0', 'フェーズ': 'P1 立上げ・前提固定', 'タスクID': 'T01', 'タスク名': 'プロジェクトキックオフ実施', '詳細・内容': 'スコープ、対象データ(data\\train.csv)、目的変数(SALE PRICE)、役割分担、会議運営を確認。議事メモ即日配布', '担当者': '佐藤 健一', '開始日': '2025-08-06', '終了日': '2025-08-06', '依存タスク': '-', '成果物': 'キックオフ議事メモ', 'ステータス': '完了', 'クリティカルパス': '○', 'マイルストーン': 'MS1: キックオフ完了・前提固定', 'チェックポイント': 'CP1: キックオフ完了確認', '備考': 'M01 キックオフ会議(クライアント窓口: 前田 美咲 部長)'}
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.structure.json スケジュール fill=FFF2E0D0: {'No.': '11.0', 'フェーズ': 'P3 探索的分析・中間報告', 'タスクID': 'T11', 'タスク名': '中間報告会実施', '詳細・内容': '前処理ルール案、分析データセット化方針、モデリング継続条件の承認を取得', '担当者': '佐藤 健一 / 渡辺 遥', '開始日': '2025-08-26', '終了日': '2025-08-26', '依存タスク': 'T10', '成果物': '中間報告議事メモ', 'ステータス': '完了', 'クリティカルパス': '○', 'マイルストーン': 'MS4: 中間報告承認', 'チェックポイント': 'CP4: 中間報告承認', '備考': 'M02 中間報告会議(クライアント窓口: 前田 美咲 部長)'}
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.structure.json スケジュール fill=FFF2E0D0: {'No.': '20.0', 'フェーズ': 'P6 最終報告・検収・精算管理', 'タスクID': 'T20', 'タスク名': '最終報告会実施', '詳細・内容': '最終成果物説明、承認判断材料提示', '担当者': '佐藤 健一 / 渡辺 遥 / 藤田 彩', '開始日': '2025-09-16', '終了日': '2025-09-16', '依存タスク': 'T18, T19', '成果物': '最終報告書、最終報告議事メモ', 'ステータス': '完了', 'クリティカルパス': '○', 'マイルストーン': 'MS7: 最終報告会完了', 'チェックポイント': 'CP8: 最終報告・承認判断', '備考': 'M03 最終報告会議(クライアント窓口: 前田 美咲 部長)'}"
3,恒一会 かえで総合病院の契約書において、太字で記載されている箇所のうち、日付以外のものをすべて抽出してください。,"time_and_materials、実績工数に基づき、案件完了後に最終成果物の検収を経て一括精算する。、30、分単位、25,000、円/時間",answered,EDA035,medium,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw解除版.docx.structure.json,1,EDA035の改善ログ,"data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw解除版.docx.structure.json block=47: time_and_materials {'text': 'time_and_materials', 'bold': True, 'italic': False, 'underline': False, 'font_color': '', 'highlight': '', 'font_name': '', 'font_size_pt': None}
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw解除版.docx.structure.json block=50: 実績工数に基づき、案件完了後に最終成果物の検収を経て一括精算する。 {'text': '実績工数に基づき、案件完了後に最終成果物の検収を経て一括精算する。', 'bold': True, 'italic': False, 'underline': False, 'font_color': '', 'highlight': '', 'font_name': '', 'font_size_pt': None}
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw解除版.docx.structure.json block=54: 30 {'text': '30', 'bold': True, 'italic': False, 'underline': False, 'font_color': '', 'highlight': '', 'font_name': '', 'font_size_pt': None}
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw解除版.docx.structure.json block=54: 分単位 {'text': '分単位', 'bold': True, 'italic': False, 'underline': False, 'font_color': '', 'highlight': '', 'font_name': '', 'font_size_pt': None}
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw解除版.docx.structure.json block=114: 25,000 {'text': '25,000', 'bold': True, 'italic': False, 'underline': False, 'font_color': '', 'highlight': '', 'font_name': '', 'font_size_pt': None}
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw解除版.docx.structure.json block=114: 円/時間 {'text': '円/時間', 'bold': True, 'italic': False, 'underline': False, 'font_color': '', 'highlight': '', 'font_name': '', 'font_size_pt': None}"
4,蒼泉会 ひがし丘総合病院の01_eda.ipynbを確認して、目的変数と相関が最も高い数値特徴量を教えてください。,bmi,answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
5,青潮モビリティサービスの最終報告にて最良モデルとしているモデルのパラメータであるmax_depthはいくらに設定されていますか。,max_depthは5に設定されています,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/06.報告書/株式会社青潮モビリティサービス_最終報告.pdf | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/会議録/会議録_2025-08-26.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
6,蒼泉会 ひがし丘総合病院案件において、提案時の税込み見込み金額と最終請求金額の差額はいくらですか。,0円,answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/06.報告書/医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
7,青潮モビリティサービスの基礎分析.pptxにおいて、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,"行ラベル(0,1,2...)でグループ化し、各列(平均 / temp, 平均 / atemp, 平均 / hum, 平均 / windspeed, 平均 / cnt)の平均値を算出する。",answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/基礎分析.pptx | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/基礎分析.docx | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/06.報告書/株式会社青潮モビリティサービス_最終報告.pdf,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
8,東都人材プラットフォームのデータサイエンティスト調査資料において、米国平均給与における機械学習（ML）エンジニアとデータエンジニアの差はいくらですか。,"14,744ドル。",answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
9,青葉与信マネジメントの最終報告資料の最新版になる際に修正されたもののうち、案件遂行に関連する変更を挙げてください。,5. 業務提言 ― モデル運用・ガバナンス(中期),answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx.md,2,EDA046の改善ログ,5. 業務提言 ― モデル運用・ガバナンス(中期)
