document_id,extension,relative_path,extraction_method,text_length,text_preview
doc_c24302a2e2b18332,.csv,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/train.csv,csv_summary_sample,30092,"# source_path: プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 白峰信用リスク評価株式会社 # major_folder: 04.分析 # CSVファイル: train.csv  - 行数: 7352 - 列数: 66 - 区切り文字: ',' - 列名: id, Attr1, Attr2, Attr3, Attr4, Attr5, Attr6, Attr7, Attr8, Attr9, Attr10, Attr11, Attr12, Attr13, Attr14, Attr15, Attr16, Attr17, Attr18, Attr19, Attr20, Attr21, Attr22, Attr23, Attr24, Attr25, Attr26, Attr27, Attr28, Attr29, Attr30, Attr31, Attr32, Attr33"
doc_e2f7ed7ede4cfe4f,.csv,プロジェクト/白峰信用リスク評価株式会社/03.データ/train.csv,csv_summary_sample,30072,"# source_path: プロジェクト/白峰信用リスク評価株式会社/03.データ/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 白峰信用リスク評価株式会社 # major_folder: 03.データ # CSVファイル: train.csv  - 行数: 7352 - 列数: 66 - 区切り文字: ',' - 列名: id, Attr1, Attr2, Attr3, Attr4, Attr5, Attr6, Attr7, Attr8, Attr9, Attr10, Attr11, Attr12, Attr13, Attr14, Attr15, Attr16, Attr17, Attr18, Attr19, Attr20, Attr21, Attr22, Attr23, Attr24, Attr25, Attr26, Attr27, Attr28, Attr29, Attr30, Attr31, Attr32, Attr33, Attr34, Attr35, At"
doc_22cccbd0e3648b72,.csv,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/artifacts/analysis_outputs/train_preview.csv,csv_full,18086,"# source_path: プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/artifacts/analysis_outputs/train_preview.csv # file_name: train_preview.csv # extension: .csv # area: プロジェクト # project_name: 青葉与信マネジメント株式会社 # major_folder: 04.分析 # CSVファイル: train_preview.csv  - 行数: 200 - 列数: 10 - 区切り文字: ',' - 列名: id, loan_amnt, term, interest_rate, grade, employment_length, purpose, credit_score, application_type, loan_status  ## dtypes ,dtype id,int64 loan_amnt,float64 term,str interest_rate,float64 grade,str employmen"
doc_558f0524ad87a81b,.csv,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/train.csv,csv_summary_sample,11373,"# source_path: プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 株式会社青葉バイオメディカル機器 # major_folder: 04.分析 # CSVファイル: train.csv  - 行数: 735 - 列数: 33 - 区切り文字: ',' - 列名: id, Age, Attrition, BusinessTravel, DailyRate, Department, DistanceFromHome, Education, EducationField, EnvironmentSatisfaction, Gender, HourlyRate, JobInvolvement, JobLevel, JobRole, JobSatisfaction, MaritalStatus, MonthlyIncome, NumCompaniesWorked, O"
doc_8289b30011ebfdb4,.csv,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv,csv_summary_sample,11353,"# source_path: プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 株式会社青葉バイオメディカル機器 # major_folder: 03.データ # CSVファイル: train.csv  - 行数: 735 - 列数: 33 - 区切り文字: ',' - 列名: id, Age, Attrition, BusinessTravel, DailyRate, Department, DistanceFromHome, Education, EducationField, EnvironmentSatisfaction, Gender, HourlyRate, JobInvolvement, JobLevel, JobRole, JobSatisfaction, MaritalStatus, MonthlyIncome, NumCompaniesWorked, Over18, OverTime, Per"
doc_fedf164e75a35759,.ipynb,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,35387,# source_path: プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb # file_name: 01_eda.ipynb # extension: .ipynb # area: プロジェクト # project_name: 株式会社東都人材プラットフォーム # major_folder: 04.分析 # Notebook: 01_eda.ipynb  ## cell_000 [markdown] # EDAノートブック  本ノートブックは、分析業務で使うEDAを固定手順で実行するための定型版です。 可視化結果は相対パスで `reports/figures` に保存します。  ## cell_001 [markdown] ## 固定EDA計画 1. データ読み込みと基本確認 2. 列型・記述統計の確認 3. 欠損率の集計と可視化 4. 数値列の分布確認 5. カテゴリ列の主要分布確認 6. 目的変数の分布と偏り確認 7. 数値特徴量の相関確認 8. 日付列の時系列傾向確認（存在時） 9. 
doc_f8aa3d477d935cb8,.ipynb,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,35182,# source_path: プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb # file_name: 01_eda.ipynb # extension: .ipynb # area: プロジェクト # project_name: 青葉与信マネジメント株式会社 # major_folder: 04.分析 # Notebook: 01_eda.ipynb  ## cell_000 [markdown] # EDAノートブック  本ノートブックは、分析業務で使うEDAを固定手順で実行するための定型版です。 可視化結果は相対パスで `reports/figures` に保存します。  ## cell_001 [markdown] ## 固定EDA計画 1. データ読み込みと基本確認 2. 列型・記述統計の確認 3. 欠損率の集計と可視化 4. 数値列の分布確認 5. カテゴリ列の主要分布確認 6. 目的変数の分布と偏り確認 7. 数値特徴量の相関確認 8. 日付列の時系列傾向確認（存在時） 9. 観察結果
doc_f7bbe31b3fc35746,.ipynb,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,33718,# source_path: プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb # file_name: 01_eda.ipynb # extension: .ipynb # area: プロジェクト # project_name: 株式会社青嶺不動産アセットマネジメント # major_folder: 04.分析 # Notebook: 01_eda.ipynb  ## cell_000 [markdown] # EDAノートブック  本ノートブックは、分析業務で使うEDAを固定手順で実行するための定型版です。 可視化結果は相対パスで `reports/figures` に保存します。  ## cell_001 [markdown] ## 固定EDA計画 1. データ読み込みと基本確認 2. 列型・記述統計の確認 3. 欠損率の集計と可視化 4. 数値列の分布確認 5. カテゴリ列の主要分布確認 6. 目的変数の分布と偏り確認 7. 数値特徴量の相関確認 8. 日付列の時系列傾向確認（存在
doc_10145cb6808672ad,.ipynb,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,33472,# source_path: プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb # file_name: 01_eda.ipynb # extension: .ipynb # area: プロジェクト # project_name: 医療法人社団 蒼樹会 みなみ野女性医療センター # major_folder: 04.分析 # Notebook: 01_eda.ipynb  ## cell_000 [markdown] # EDAノートブック  本ノートブックは、分析業務で使うEDAを固定手順で実行するための定型版です。 可視化結果は相対パスで `reports/figures` に保存します。  ## cell_001 [markdown] ## 固定EDA計画 1. データ読み込みと基本確認 2. 列型・記述統計の確認 3. 欠損率の集計と可視化 4. 数値列の分布確認 5. カテゴリ列の主要分布確認 6. 目的変数の分布と偏り確認 7. 数値特徴量の相関確認 8. 日付列の時系
doc_de03c1e2611d7376,.ipynb,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,32771,# source_path: プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb # file_name: 01_eda.ipynb # extension: .ipynb # area: プロジェクト # project_name: 医療法人社団 恒一会 かえで総合病院 # major_folder: 04.分析 # Notebook: 01_eda.ipynb  ## cell_000 [markdown] # EDAノートブック  本ノートブックは、分析業務で使うEDAを固定手順で実行するための定型版です。 可視化結果は相対パスで `reports/figures` に保存します。  ## cell_001 [markdown] ## 固定EDA計画 1. データ読み込みと基本確認 2. 列型・記述統計の確認 3. 欠損率の集計と可視化 4. 数値列の分布確認 5. カテゴリ列の主要分布確認 6. 目的変数の分布と偏り確認 7. 数値特徴量の相関確認 8. 日付列の時系列傾向確認（存在時）
