document_id,extension,relative_path,extraction_method,text_length,paragraph_count,table_count,slide_count,sheet_count,page_count,text_preview
doc_57047cb470004a44,.docx,プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,docx_paragraphs_tables_basic_styles,10300,125,1,0,0,0,# DOCXファイル: 契約書.docx ## paragraph_001 - style: Heading 1 データ分析業務委託契約書 ## paragraph_002 - style: First Paragraph 京橋信用ソリューションズ株式会社（以下「甲」という。）と株式会社データアステル（以下「乙」という。）は、定期預金などの契約有無予測と説明可能な顧客セグメンテーションに関するデータ分析業務について、以下のとおり業務委託契約（以下「本契約」という。）を締結する。 ## paragraph_003 - style: Body Text 本契約の締結日および効力発生日は、いずれも2025-10-01とする。 ## paragraph_004 - style: Heading 2 1. 当事者 ## paragraph_005 - style: Heading 3 1.1 甲 ## paragraph_006 - style: Compact 会社名：京橋信用ソリューションズ株式会社 ## paragraph_007 - style: Compact 部署名：リスク管理部 与...
doc_ed6a50a7a6239166,.docx,プロジェクト/京橋信用ソリューションズ株式会社/05.会議/報告資料/報告資料_2025-10-01.docx,docx_paragraphs_tables_basic_styles,6528,82,0,0,0,0,# DOCXファイル: 報告資料_2025-10-01.docx ## paragraph_001 - style: Heading 1 分析進捗報告書 ## paragraph_002 - style: Heading 2 1. 報告サマリー ## paragraph_003 - style: Compact チェックポイント: M01（キックオフ）実施日 2025-10-01 ## paragraph_004 - style: Compact 報告対象期間: 2025-10-01 ～ 2025-10-01 ## paragraph_005 - style: Compact 当日状況（要旨）: ## paragraph_006 - style: Compact キックオフ（M01）を実施（会議自体は計画どおり、ただし議事録は未作成／保存されていません）。 ## paragraph_007 - style: Compact キックオフ時点では、分析結果ではなく前提確認・データ受領・レビュー計画を共有する。 ## paragraph_008 - style: Compact 決定待ち項目...
doc_f11f203bf4b53661,.docx,プロジェクト/京橋信用ソリューションズ株式会社/05.会議/報告資料/報告資料_2025-10-29.docx,docx_paragraphs_tables_basic_styles,9589,118,0,0,0,0,# DOCXファイル: 報告資料_2025-10-29.docx ## paragraph_001 - style: Heading 1 分析進捗報告書 ## paragraph_002 - style: First Paragraph 会議ID: M02（中間報告） 会議日: 2025-10-29 報告対象期間: 2025-10-01 ～ 2025-10-29 ## paragraph_004 - style: Heading 2 1. 報告サマリー ## paragraph_005 - style: Compact 本中間チェックポイント（M02）時点で、データ受領・EDA・モデル比較を実施し、成果物（artifacts/analysis_outputs/experiments/leaderboard.csv 等）を出力しています（出力参照: artifacts/analysis_outputs/experiments）。 ## paragraph_006 - style: Compact 代表的評価指標（leaderboard.csv の trial_index 1〜5 より）:...
doc_bf1cd90acac30eb4,.docx,プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-02.docx,docx_paragraphs_tables_basic_styles,5660,67,1,0,0,0,# DOCXファイル: 会議録_2025-09-02.docx ## paragraph_001 - style: Heading 1 会議録 ## paragraph_002 - style: Heading 2 1. 会議情報 ## paragraph_003 - style: Compact 会議ID: M01 ## paragraph_004 - style: Compact 種類: キックオフ ## paragraph_005 - style: Compact 日付: 2025-09-02 ## paragraph_006 - style: Compact 目的: プロジェクト開始にあたり目的変数 disease の定義とスコープ、成果物、進め方を確認し、データ受領と初期課題管理を開始する ## paragraph_007 - style: Compact 出席者: ## paragraph_008 - style: Compact 顧客（医療法人社団 恒一会 かえで総合病院）主担当: 柴田 海斗（室長） ## paragraph_009 - style: Compact 医...
doc_ca6168468a1994ca,.docx,プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-16.docx,docx_paragraphs_tables_basic_styles,7473,75,1,0,0,0,# DOCXファイル: 会議録_2025-09-16.docx ## paragraph_001 - style: Heading 1 会議録 ## paragraph_002 - style: Heading 2 1. 会議情報 ## paragraph_003 - style: Compact 会議ID: M02 ## paragraph_004 - style: Compact 種類: 中間レビュー ## paragraph_005 - style: Compact 日付: 2025-09-16 ## paragraph_006 - style: Compact 目的: 第3週の節目でデータ理解結果、前処理方針、初期モデル評価を共有し、Recall重視の評価観点で論点整理を行う ## paragraph_007 - style: Compact 期待決定事項: 前処理方針の確定／比較対象モデルの継続候補選定／中間論点と追加確認事項の合意 ## paragraph_008 - style: Compact 出席者: ## paragraph_009 - style: Compact...
doc_e65d3b1d6fb98ad0,.docx,プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-30.docx,docx_paragraphs_tables_basic_styles,7785,82,1,0,0,0,# DOCXファイル: 会議録_2025-09-30.docx ## paragraph_001 - style: Heading 1 会議録 ## paragraph_002 - style: Heading 2 1. 会議情報 ## paragraph_003 - style: Compact 会議ID: M03 ## paragraph_004 - style: Compact 種類: 最終報告会 ## paragraph_005 - style: Compact 日付: 2025-09-30 ## paragraph_006 - style: Compact 目的: 第5週の最終成果確認として分析結果と解釈と業務活用可否判断材料を報告し納品前の最終確認を行う ## paragraph_007 - style: Compact 出席者: ## paragraph_008 - style: Compact 顧客（医療法人社団 恒一会 かえで総合病院）主担当: 柴田 海斗（室長） ## paragraph_009 - style: Compact 医療情報分析室 責任者: TODO ...
doc_b874317eefdcac21,.docx,プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx,docx_paragraphs_tables_basic_styles,7708,82,0,0,0,0,# DOCXファイル: 報告資料_2025-09-02.docx ## paragraph_001 - style: Heading 1 分析進捗報告書 ## paragraph_002 - style: First Paragraph （チェックポイント: M01 キックオフ / 日付: 2025-09-02 / 報告対象期間: 2025-09-02 to 2025-09-02） （ステージ: kickoff / 実装状況: planning_only / 実験結果可視性: no_model_results） ## paragraph_004 - style: Heading 2 1. 報告サマリー ## paragraph_005 - style: Compact 2025-09-02 にキックオフ（Meeting ID: M01）を実施（本報告は当日状態の中間報告）。Report facts JSON の checkpoint による記録を基に作成。 ## paragraph_006 - style: Compact 現時点は「キックオフ／立上げ段階（pre-implementa...
doc_3d671737a6647915,.docx,プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx,docx_paragraphs_tables_basic_styles,8961,99,0,0,0,0,# DOCXファイル: 報告資料_2025-09-16.docx ## paragraph_001 - style: Heading 1 分析進捗報告書 ## paragraph_002 - style: Heading 2 1. 報告サマリー ## paragraph_003 - style: Compact チェックポイント: M02（中間レビュー） ## paragraph_004 - style: Compact 会議日: 2025-09-16 ## paragraph_005 - style: Compact 報告対象期間: 2025-09-02 ～ 2025-09-16 ## paragraph_006 - style: Compact 本報告の分析段階: interim（中間） — 本中間段階では Report facts JSON.analysis.checkpoint_stage に従い、visible_trials（trial_index 1〜5）で公開された実験結果のみを引用しています。最終的なチャンピオンモデルや最終スコアは本中間報告では扱いません。 ## pa...
doc_80dfdaf9e66a75e1,.docx,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx,docx_paragraphs_tables_basic_styles,12182,61,7,0,0,0,# DOCXファイル: 糖尿病統計情報.docx ## paragraph_001 - style: Normal 糖尿病における世界的・国内的統計情報の網羅的分析と公衆衛生上のインプリケーション：21世紀のパンデミックに対する疫学的考察 ### run_styles - bold: 糖尿病における世界的・国内的統計情報の網羅的分析と公衆衛生上のインプリケーション：21世紀のパンデミックに対する疫学的考察 ## paragraph_002 - style: Normal 世界における糖尿病パンデミックの現状と2045年までの将来予測 ### run_styles - bold: 世界における糖尿病パンデミックの現状と2045年までの将来予測 ## paragraph_003 - style: Normal 21世紀の公衆衛生において、糖尿病は最も急速に拡大している非感染性疾患（NCDs）の一つであり、その規模は「パンデミック」と呼ぶに相応しい未曾有の事態に至っている 。国際糖尿病連合（IDF）が発行した「IDF 糖尿病アトラス第10版」によれば、2021年時点で世界全体における20歳か...
doc_323689d7e461bcbf,.docx,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx,docx_paragraphs_tables_basic_styles,9038,118,1,0,0,0,# DOCXファイル: 契約書.docx ## paragraph_001 - style: Heading 1 データ分析業務委託契約書 ## paragraph_002 - style: First Paragraph 本契約は、2025-04-03付で、以下の当事者間において締結される。 ## paragraph_003 - style: Heading 2 1. 当事者 ## paragraph_004 - style: First Paragraph 委託者（以下「甲」という。） 医療法人社団 蒼樹会 みなみ野女性医療センター 部署：医療情報・品質改善推進室 主担当者：林 さくら 室長 ### run_styles - bold: 委託者（以下「甲」という。） ## paragraph_005 - style: Body Text 受託者（以下「乙」という。） 株式会社データアステル 部署：データサイエンス部 ### run_styles - bold: 受託者（以下「乙」という。） ## paragraph_006 - style: Body Text 甲および乙は、糖尿病...
doc_527db8b1faf99797,.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/01.契約/契約書.docx,docx_paragraphs_tables_basic_styles,10982,140,2,0,0,0,# DOCXファイル: 契約書.docx ## paragraph_001 - style: Heading 1 データ分析業務委託契約書 ## paragraph_002 - style: First Paragraph 医療法人社団 蒼泉会 ひがし丘総合病院（以下「甲」という。）と株式会社データアステル（以下「乙」という。）は、医療費関連の価格帯分類と要因分析プロジェクトに関し、以下のとおりデータ分析業務委託契約（以下「本契約」という。）を締結する。 ## paragraph_003 - style: Body Text 本契約の締結日および効力発生日は、いずれも2025-07-08とする。 ## paragraph_004 - style: Heading 2 1. 当事者 ## paragraph_005 - style: Heading 3 1.1 甲 ## paragraph_006 - style: Compact 名称：医療法人社団 蒼泉会 ひがし丘総合病院 ## paragraph_007 - style: Compact 主管部署：医療情報部 データ戦略推進課 ##...
doc_7bdb84e0125662cf,.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/会議録/会議録_2025-07-08.docx,docx_paragraphs_tables_basic_styles,10629,134,1,0,0,0,# DOCXファイル: 会議録_2025-07-08.docx ## paragraph_001 - style: Heading 1 会議録 ## paragraph_002 - style: Heading 2 1. 会議情報 ## paragraph_003 - style: Compact 会議ID: M01 ### run_styles - bold: 会議ID ## paragraph_004 - style: Compact 会議種別: キックオフ ### run_styles - bold: 会議種別 ## paragraph_005 - style: Compact 開催日: 2025-07-08 ### run_styles - bold: 開催日 ## paragraph_006 - style: Compact 目的: プロジェクト開始時点で目的変数 charges の定義、対象範囲、5週間の進行計画、会議運営、医療データ取扱い上の留意点を確認し、分析着手条件をそろえる ### run_styles - bold: 目的 ## paragraph_007 - s...
doc_fda8f23a0f476eb5,.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/会議録/会議録_2025-07-22.docx,docx_paragraphs_tables_basic_styles,11186,127,1,0,0,0,# DOCXファイル: 会議録_2025-07-22.docx ## paragraph_001 - style: Heading 1 会議録 ## paragraph_002 - style: Heading 2 1. 会議情報 ## paragraph_003 - style: Compact 会議ID: M02 ### run_styles - bold: 会議ID ## paragraph_004 - style: Compact 会議種別: 中間報告 ### run_styles - bold: 会議種別 ## paragraph_005 - style: Compact 開催日: 2025-07-22 ### run_styles - bold: 開催日 ## paragraph_006 - style: Compact 目的: 3週目マイルストーンとして、基礎集計、クラス不均衡の確認、初期モデル結果、重要変数の暫定傾向、高価格帯候補群の特徴仮説を共有し、最終化に向けた分析方針を固める ### run_styles - bold: 目的 ## paragraph_007 -...
doc_5949d3e457c5c26d,.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/会議録/会議録_2025-08-05.docx,docx_paragraphs_tables_basic_styles,13072,144,1,0,0,0,# DOCXファイル: 会議録_2025-08-05.docx ## paragraph_001 - style: Heading 1 会議録 ## paragraph_002 - style: Heading 2 1. 会議情報 ## paragraph_003 - style: Compact 会議ID: M03 ### run_styles - bold: 会議ID ## paragraph_004 - style: Compact 会議種別: 最終報告 ### run_styles - bold: 会議種別 ## paragraph_005 - style: Compact 開催日: 2025-08-05 ### run_styles - bold: 開催日 ## paragraph_006 - style: Compact 目的: 5週目の完了ゲートとして、charges 3クラス分類の最終評価、重要変数、価格帯セグメント定義、高価格帯関連要因、再現可能な分析手順、制約と次フェーズ示唆を報告する ### run_styles - bold: 目的 ## paragraph_0...
