dataset,question_id,question,label_source,required_documents,primary_document,supporting_documents,required_document_count,label_confidence,label_is_complete,ambiguity,notes,generated_by,source,confidence,requires_manual_review
test,0,白峰信用リスク評価の提案書old.pptxから提案書.pptxへの更新内容のうち、案件遂行に関連する実質的な変更を挙げてください。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書old.pptx | share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書.pptx,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書old.pptx,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書.pptx,2,human_final_source,True,False,Human review marked the source set as correct; 正解,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,22,白峰信用リスク評価の01_eda_old.ipynbから01_eda.ipynbへの変更内容のうち、内容として変わっている点は何ですか。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb | share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb,2,human_reviewed_source,False,True,"Human file was inspected, but final-source completeness is not explicit; 不正解",offline_label_quality_audit,EDA064 human_source_labels.csv,medium,True
test,25,白峰信用リスク評価のtrain.xlsxにおいて、青色ハイライト部分の合計値を求めてください。四捨五入して整数で答えてください。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx,,1,human_reviewed_source,False,True,"Human file was inspected, but final-source completeness is not explicit; 不正解",offline_label_quality_audit,EDA064 human_source_labels.csv,medium,True
test,44,IMにあるFMにおいて、佐藤さんから見て右側に座っている人の名前をすべて挙げてください。,human_review.human_sorce_files,share/共有ドライブ/社内管理/座席表.pptx | share/共有ドライブ/社内管理/社内用語集.pptx,share/共有ドライブ/社内管理/座席表.pptx,share/共有ドライブ/社内管理/社内用語集.pptx,2,human_reviewed_source,False,True,"Human file was inspected, but final-source completeness is not explicit; 不正解",offline_label_quality_audit,EDA064 human_source_labels.csv,medium,True
test,51,白峰信用リスク評価の提案書.pptxにおいて、モデルの高度化（説明性・セグメント分析）の実行予定スケジュールは案件開始から第何週目に実施予定でしょうか。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書.pptx,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書.pptx,,1,human_reviewed_source,False,True,"Human file was inspected, but final-source completeness is not explicit; 不正解",offline_label_quality_audit,EDA064 human_source_labels.csv,medium,True
test,58,社内管理フォルダにあるFMにおいて、井上さんの向かいに座っている方のEXTを教えてください。,human_review.human_sorce_files,share/共有ドライブ/社内管理/座席表.pptx | share/共有ドライブ/社内管理/社内用語集.pptx,share/共有ドライブ/社内管理/座席表.pptx,share/共有ドライブ/社内管理/社内用語集.pptx,2,human_reviewed_source,False,True,"Human file was inspected, but final-source completeness is not explicit; 不正解",offline_label_quality_audit,EDA064 human_source_labels.csv,medium,True
test,60,白峰信用リスク評価の最終報告資料内で未完事項として挙げられているIDをすべて抽出してください。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.md,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.md,,1,human_final_source,True,False,Human review marked the source set as correct; 正解,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,69,白峰信用リスク評価の最終報告資料において、パイロット運用は本番化スケジュール上で第何週目から第何週目に実施予定ですか。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.md,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.md,,1,human_reviewed_source,False,True,"Human file was inspected, but final-source completeness is not explicit; 不正解",offline_label_quality_audit,EDA064 human_source_labels.csv,medium,True
test,70,白峰信用リスク評価の5月27日の報告資料で Open として優先フォロー対象に挙げられているアクションIDの中で、会議録において完了となっていないIDを上げてください。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/報告資料/報告資料_2025-05-27.pdf | share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-05-27.pdf,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/報告資料/報告資料_2025-05-27.pdf,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-05-27.pdf,2,human_reviewed_source,False,True,"Human file was inspected, but final-source completeness is not explicit; 不正解",offline_label_quality_audit,EDA064 human_source_labels.csv,medium,True
test,9,青葉与信マネジメントの最終報告資料の最新版になる際に修正されたもののうち、案件遂行に関連する変更を挙げてください。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx,2,human_reviewed_source,False,True,"Human file was inspected, but final-source completeness is not explicit; 不正解",offline_label_quality_audit,EDA064 human_source_labels.csv,medium,True
