question_id,dataset,question,internal_scope_terms,human_selected_documents,label_available,internal_term_present,current_rank,generated_by,source,confidence,requires_manual_review
0,valid,青潮モビリティサービスの最終報告における、モビリティ需要の要因分析のページで、マーカーされている単語をすべて抜き出してください。,,,False,False,,offline_rule,signals+labels,low,True
1,valid,KSSのfigure_06.pngにおいて、dayによる件数推移とあわせて表示されているTG平均が最も低い日は何日ですか。,,,False,False,,offline_rule,signals+labels,low,True
2,valid,恒一会 かえで総合病院の提案書内で、重視するとされている評価指標を答えてください。,,,False,False,,offline_rule,signals+labels,low,True
3,valid,全案件で支払った税込金額をもとに、消費税額の総額を計算してください。,,,False,False,,offline_rule,signals+labels,low,True
4,valid,青嶺不動産アセットマネジメントの modeling.py において、前処理器の sparse_output が False になる model_type は何ですか。,,,False,False,,offline_rule,signals+labels,low,True
5,valid,白峰信用リスク評価の最終報告書において、「プロジェクト目的とスコープ」内でAPI化はどの分類に記載されていますか。,,,False,False,,offline_rule,signals+labels,low,True
6,valid,恒一会 かえで総合病院のtrain.xlsx内の PivotTable で集計されている表から、ALPの平均が最も高いものの抽出条件を教えてください。,,,False,False,,offline_rule,signals+labels,low,True
7,valid,恒一会 かえで総合病院のプロジェクトデータ（train.csv）において、disease=1の女性の中で、ALT_GPTの平均値が最も高い年齢は何歳ですか。,,,False,False,,offline_rule,signals+labels,low,True
8,valid,蒼泉会 ひがし丘総合病院の契約条件において、仮に実績工数が見込工数の4分の3だった場合、最終請求金額（税込）は見込金額（税込）よりいくら少なくなりますか。,,,False,False,,offline_rule,signals+labels,low,True
9,valid,青嶺不動産アセットマネジメントの提案書について、oldフォルダ内の旧版と提案フォルダ直下の最新版を比較し、変更された箇所を変更前と変更後で答えてください。,,,False,False,,offline_rule,signals+labels,low,True
10,valid,蒼樹会 みなみ野女性医療センターの最終報告書にて、影響度が最も高いとされている残余リスクを抜き出してください。,,,False,False,,offline_rule,signals+labels,low,True
11,valid,東都人材プラットフォームのtrain.xlsxにおいて、trainシートでフィルターで抽出されている条件を教えてください。,,,False,False,,offline_rule,signals+labels,low,True
12,valid,京橋信用ソリューションズの契約金額（税込）はいくらですか。,,,False,False,,offline_rule,signals+labels,low,True
13,valid,青葉与信マネジメントの分析対象データにおいて、term=3 years、grade=B1、purpose=credit_cardに該当するloan_amntの平均を算出してください。四捨五入して整数値で出してください。,,,False,False,,offline_rule,signals+labels,low,True
14,valid,青葉バイオメディカル機器案件において、鈴木 美咲さんはどの役割としてアサインされていますか。,,,False,False,,offline_rule,signals+labels,low,True
15,valid,中間報告会または中間レビューが2025年7月1日以前に実施された案件を、主略称ですべて挙げてください。,,,False,False,,offline_rule,signals+labels,low,True
16,valid,MINAMINOのPLにおいて、M01当日を1日目として数えた場合、M01の日からFR実施までの日数は何日ですか。,,,False,False,,offline_rule,signals+labels,low,True
17,valid,京橋信用ソリューションズのカラム説明において、カラム名pdaysの値-1は何を表していますか。,,,False,False,,offline_rule,signals+labels,low,True
18,valid,東都のCTにおいて、全14章のうち「本業務の対象データ、前提および制約」が記載されている章番号を数字で答えてください。,,,False,False,,offline_rule,signals+labels,low,True
19,valid,青嶺不動産アセットマネジメント案件で分析設計を担当する人の名前をフルネームで抽出してください。,,,False,False,,offline_rule,signals+labels,low,True
20,valid,AYMのPLにおいて、探索的分析・仮説整理フェーズに一致するタスクIDをすべて挙げてください。,,,False,False,,offline_rule,signals+labels,low,True
21,valid,青葉バイオメディカル機器のtrain.xlsxのPivotシートにおいて、平均月収が最も高い層の抽出条件を答えてください。,,,False,False,,offline_rule,signals+labels,low,True
22,valid,AOSHIOの NB01_eda.ipynbにおいて、観察結果サマリで出力されている「TGとの相関 上位5」の中で、相関係数が最も小さいカラム名を答えてください。,,,False,False,,offline_rule,signals+labels,low,True
23,valid,AOSHIOのM02資料（docx）において、黄色でハイライトされている部分をすべて抜き出してください。,,,False,False,,offline_rule,signals+labels,low,True
24,valid,白峰信用リスク評価の 01_eda.ipynb にある特徴量相関ヒートマップの図で可視化されている特徴量のうち、classとの相関係数の絶対値が最も小さい特徴量名を答えてください。,,,False,False,,offline_rule,signals+labels,low,True
25,valid,東都人材プラットフォームの提案書P7において、赤で強調されている箇所の文字列を抜き出してください。,,,False,False,,offline_rule,signals+labels,low,True
26,valid,青葉バイオメディカル機器のtrain.csvにおいて、EducationFieldがMarketingかつMonthlyIncomeが10000より大きいデータを抽出し、Ageの平均値を計算してください。その平均値に最も近い年齢のidをすべて答えてください。,,,False,False,,offline_rule,signals+labels,low,True
27,valid,蒼泉会 ひがし丘総合病院案件において、中間報告資料に記載されたMacro F1スコアの詳細値と、最終分析出力metrics.jsonに記録されているMacro F1スコアの詳細値を用いて、改善幅を小数第6位まで答えてください。,,,False,False,,offline_rule,signals+labels,low,True
28,valid,蒼泉会の分析コードにおいて、CATは dtype とユニーク数の条件でどのように判定していますか。,,,False,False,,offline_rule,signals+labels,low,True
29,valid,蒼樹会 みなみ野女性医療センターの契約書第8条において、本契約終了後に秘密保持義務が存続する期間は何年間ですか。,,,False,False,,offline_rule,signals+labels,low,True
0,test,白峰信用リスク評価の提案書old.pptxから提案書.pptxへの更新内容のうち、案件遂行に関連する実質的な変更を挙げてください。,,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書old.pptx | share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書.pptx,True,False,1,offline_rule,signals+labels,medium,True
1,test,恒一会 かえで総合病院の最終報告書old版と最新版を比較したとき、案件遂行に関連する実質的な変更を挙げてください。,,,False,False,,offline_rule,signals+labels,low,True
2,test,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、オレンジにハイライトされている行のタスク名をすべて答えてください。,,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,True,False,,offline_rule,signals+labels,medium,True
3,test,恒一会 かえで総合病院の契約書において、太字で記載されている箇所のうち、日付以外のものをすべて抽出してください。,,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw-kaede20250902.docx,True,False,8,offline_rule,signals+labels,medium,True
4,test,蒼泉会 ひがし丘総合病院の01_eda.ipynbを確認して、目的変数と相関が最も高い数値特徴量を教えてください。,,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,True,False,4,offline_rule,signals+labels,medium,True
5,test,青潮モビリティサービスの最終報告にて最良モデルとしているモデルのパラメータであるmax_depthはいくらに設定されていますか。,,,False,False,,offline_rule,signals+labels,low,True
6,test,蒼泉会 ひがし丘総合病院案件において、提案時の税込み見込み金額と最終請求金額の差額はいくらですか。,,,False,False,,offline_rule,signals+labels,low,True
7,test,青潮モビリティサービスの基礎分析.pptxにおいて、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,,,False,False,,offline_rule,signals+labels,low,True
8,test,東都人材プラットフォームのデータサイエンティスト調査資料において、米国平均給与における機械学習（ML）エンジニアとデータエンジニアの差はいくらですか。,,,False,False,,offline_rule,signals+labels,low,True
