dataset,question_id,primary_class,secondary_classes,reasoning_summary,expected_retrieval_stage,likely_executor,missing_executor,requires_llm_planner,requires_vision,human_label_available,generated_by,source,confidence,requires_manual_review
valid,0,G,,semantic_document_guess,initial_candidate,document_lookup,unknown,False,False,False,offline_architecture_rules,question signals,medium,True
valid,1,H,,content_probe_required | insufficient_question_signal,initial_candidate,calculation,unknown,False,False,False,offline_architecture_rules,question signals,medium,True
valid,2,G,,semantic_document_guess,initial_candidate,document_lookup,unknown,False,False,False,offline_architecture_rules,question signals,medium,True
valid,3,D,,multi_document_required | content_probe_required | insufficient_question_signal,initial_candidate,calculation,unknown,True,False,False,offline_architecture_rules,question signals,medium,True
valid,4,A,,explicit_document,initial_candidate,document_lookup,unknown,False,False,False,offline_architecture_rules,question signals,medium,True
valid,5,G,,semantic_document_guess,initial_candidate,document_lookup,unknown,False,False,False,offline_architecture_rules,question signals,medium,True
valid,6,A,,explicit_document,initial_candidate,calculation,unknown,False,False,False,offline_architecture_rules,question signals,medium,True
valid,7,A,,explicit_document,initial_candidate,calculation,unknown,False,False,False,offline_architecture_rules,question signals,medium,True
valid,8,B,,content_probe_required | insufficient_question_signal,document_probe,document_lookup,unknown,True,False,False,offline_architecture_rules,question signals,medium,True
valid,9,D,,multi_document_required,initial_candidate,document_lookup,unknown,True,False,False,offline_architecture_rules,question signals,medium,True
valid,10,G,,semantic_document_guess,initial_candidate,document_lookup,unknown,False,False,False,offline_architecture_rules,question signals,medium,True
valid,11,A,G,explicit_document,initial_candidate,table_lookup,unknown,False,False,False,offline_architecture_rules,question signals,medium,True
valid,12,B,,content_probe_required | insufficient_question_signal,document_probe,document_lookup,unknown,True,False,False,offline_architecture_rules,question signals,medium,True
valid,13,H,,content_probe_required | insufficient_question_signal,initial_candidate,calculation,unknown,False,False,False,offline_architecture_rules,question signals,medium,True
valid,14,B,,content_probe_required | insufficient_question_signal,document_probe,document_lookup,unknown,True,False,False,offline_architecture_rules,question signals,medium,True
valid,15,B,,content_probe_required | insufficient_question_signal,document_probe,document_lookup,unknown,True,False,False,offline_architecture_rules,question signals,medium,True
valid,16,H,,content_probe_required | insufficient_question_signal,initial_candidate,calculation,unknown,False,False,False,offline_architecture_rules,question signals,medium,True
valid,17,B,,content_probe_required | insufficient_question_signal,document_probe,document_lookup,unknown,True,False,False,offline_architecture_rules,question signals,medium,True
