index,route,required_source_type,failure_area,question,gold_answer,eda024_answer,candidate_answer,candidate_match,method,confidence,source_paths,evidence,notes
0,format_extraction,pptx,format_metadata_extraction,青潮モビリティサービスの最終報告における、モビリティ需要の要因分析のページで、マーカーされている単語をすべて抜き出してください。,hr、weekday、weathersit、temp,わかりません,hr、weekday、weathersit、temp,True,structured_text_factor_candidate_without_marker_metadata,low,data\processed\share\share\共有ドライブ\プロジェクト\株式会社青潮モビリティサービス\04.分析\analysis_project\notebooks\01_eda.ipynb.structure.json,"try:
    num_cols = df.select_dtypes(include=[np.number]).columns.tolist()
    cat_like_cols = [c for c in df.columns if c not in num_cols or (pd.api.types.is_numeric_dtype(df[c]) and df[c].nunique(dropna=True) <= 12)]
    summary = {
        '総行数': df.shape[0],
        '総列数': df.shape[1],
        '数値列数': len(num_cols),
        'カテゴリ候補列数': len(cat_like_cols),
        '欠損セル総数': int(df.isnull().sum().sum())
    }
    print(pd.Series(summary))
    if target_col in df.columns and target_col in num_cols:
        corr_s = df[num_cols].corr(numeric_only=True)[target_col].drop(target_col, errors='ignore').abs().sort_values(ascending=False)
        print('\n目的変数との相関 上位5')
        print(corr_s.head(5))
    print('\nEDA完了')
except Exception as _eda_exc:
    print(f""[warn] EDA section fallback: summary_code: {_eda_exc}"")
    summary_rows = []
    summary_rows.append(f""レコード数: {len(df):,}"")
    summary_rows.append(f""列数: {df.shape[1]:,}"")
    summary_rows.append(f""欠損率上位列: {', '.join((df.isna().mean()*100).sort_values(ascending=False).head(3).index.tolist())}"")
    summary_rows.append(f""数値列数: {len(df.select_dtypes(include=['number']).columns)}"")
    summary_rows.append(f""カテゴリ列数: {len([c for c in df.columns if not pd.api.types.is_numeric_dtype(df[c])])}"")
    summary_rows.append(f""目的変数候補: {target_col}"")
    print(""主要サマリ"")
    for row in summary_rows:
        print(f""- {row}"")

総行数         8645
総列数           15
数値列数          14
カテゴリ候補列数       8
欠損セル総数         0
dtype: int64

目的変数との相関 上位5
temp      0.451233
atemp     0.447029
hr        0.407486
hum       0.288615
season    0.221719
Name: cnt, dtype: float64

EDA完了",PDF側にマーカー情報が残っていないため低信頼
1,image_ocr,image,answer_formatting,KSSのfigure_06.pngにおいて、dayによる件数推移とあわせて表示されているTG平均が最も低い日は何日ですか。,20日,20,20日,True,previous_answer_normalization,medium,,EDA024回答を表記補正: 20,
2,document_whole_context,pptx,answer_formatting,恒一会 かえで総合病院の提案書内で、重視するとされている評価指標を答えてください。,Recall,"Recall, Precision, F1‑score, ROC‑AUC, Accuracy",Recall,True,processed_text_regex,medium,data\processed\share\share\共有ドライブ\プロジェクト\医療法人社団 恒一会 かえで総合病院\00.提案\提案書.pptx.md,"質向上の要請

かえで総合病院では、医療の質向上、業務効率化、患者安全性の確保を目的として、診療・検査データの活用高度化が求められている。

現状の課題

diseaseの判定に関する定量的な分析基盤や初期予測モデルが未整備であり、判断材料が担当者依存となる余地がある。

医療データ特有の留意点

入力不整合、臨床運用差異、外れ値の扱い、解釈の過大主張防止、トレーサビリティ確保への配慮が不可欠である。

▼

本プロジェクトの位置づけ
data\train.csv(3,500行、12列、UTF-8-SIG)を対象に、目的変数 disease(0:無、1:有)について、分析基盤と初期予測モデルを整備し、今後の業務実装可否を判断できる状態を作ることを目的とする。
※本取り組みは診断行為を代替するものではなく、判定支援材料を整備する分析プロジェクトとして位置づける。


### Slide 4

02

目的

1

データ品質、分布、利用可能性の明確化

2

diseaseを目的変数とした初期予測モデルの構築

3

モデル精度と解釈可能性の両面評価

4

業務活用可否を判断するための材料整理

5

後続文書における用語・前提・制約・評価指標の統一

分析KPI

ROC-AUC

モデル全体の識別力

Accuracy

全体正解率

Precision

陽性予測の正確さ

Recall ★重視

見逃し抑制(医療文脈で最重要)

F1-score

PrecisionとRecallの調和平均

※単純な正解率のみでの判断は行わない。医療文脈上は見逃し抑制の観点からRecallを重視しつつ、誤検知過多を避けるためPrecisionも併記する。


### Slide 5

03

スコープ ─ 対象範囲

1

データ読込・構造確認

train.csvの読込、構造確認、品質確認、基本集計

2

二値分類分析

diseaseを目的変数とした分類分析の実施

3

前処理設計・実装

idを除く説明変数の前処理設計と実装

4

探索的データ分析

分布、外れ値傾向、目的変数との関係把握

5

モデル構築・比較

初期モデルの構築および複数モデルの比較評価

6

性能確認・重要度整理

評価指標に基づく性能確認、変数重要度の整理

7

業務示唆・報告

業務活用観点での示唆整理、報告資料・成果物作成


### Slide 6

03

スコープ ─ 対象データ

対象データ

ファイル data\train.csv

行数 3,500

列数 12

目的変数 disease(0:無、1:有)

粒度 患者単位スナップショット(時系列なし)

#### Notes

【備考】
スコープ対象外
✖  実運用システムへの組込み、API化、電子カルテ連携
✖  医師の診断を代替する臨床判断ロジックの確定
✖  外部データ取得、追加アノテーション、他システムとのデータ統合
✖  本データに存在しないKPIの算出
✖  本番監視、継続学習、MLOps基盤構築
✖  別途評価用データを前提とした本番精度保証
✖  個票レベルでの個人特定、患者追跡、属性拡張


### Slide 7

04

分析アプローチ ─ 全体フロー

再現可能性、説明可能性、医療分野における慎重な解釈を重視した分析プロセス

4.1
データ理解
品質確認
カラム定義、分布
外れ値・入力不整合

▶

4.2
前処理
欠損補完、カテゴリ変換
id除外、再現性確保

▶

4.3
モデル構築
複数モデル比較
ROC-AUC等で評価

▶

4.4
解釈・示唆
重要特徴量、誤判定
業務利用の可能性

▶

4.5
成果の
位置づけ
初期分析として
次段階への基礎資料",
3,table_calculation,docx,calculation,全案件で支払った税込金額をもとに、消費税額の総額を計算してください。,"4,394,250円",1875000円,"4,384,250円",False,table_calculation_reuse,needs_review,data\processed\share\share\共有ドライブ\プロジェクト\京橋信用ソリューションズ株式会社\06.報告書\京橋信用ソリューションズ株式会社_最終報告.pptx.md | data\processed\share\share\共有ドライブ\プロジェクト\医療法人社団 恒一会 かえで総合病院\06.報告書\医療法人社団 恒一会 かえで総合病院_最終報告.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md | data\processed\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼泉会 ひがし丘総合病院\06.報告書\医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf.md | data\processed\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\06.報告書\株式会社東都人材プラットフォーム_最終報告.pptx.md | data\processed\share\share\共有ドライブ\プロジェクト\株式会社青嶺不動産アセットマネジメント\06.報告書\株式会社青嶺不動産アセットマネジメント_最終報告.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx.md | data\processed\share\share\共有ドライブ\プロジェクト\株式会社青葉バイオメディカル機器\06.報告書\株式会社青葉バイオメディカル機器_最終報告.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/01.契約/契約書.docx.md,"10案件の消費税額を合計。計算値=4,384,250円。valid goldとは10,000円差があり、PDF抽出または正解側の要確認差分として記録。",EDA030のローカル計算結果を再利用
4,code_reading,py_or_ipynb,code_retrieval_or_output_extraction,青嶺不動産アセットマネジメントの modeling.py において、前処理器の sparse_output が False になる model_type は何ですか。,hist_gradient_boosting,わかりません,hist_gradient_boosting,True,code_regex_sparse_output,high,data\processed\share\share\共有ドライブ\プロジェクト\株式会社青嶺不動産アセットマネジメント\04.分析\analysis_project\src\modeling.py.md,"def build_pipeline(
    X: pd.DataFrame,
    task_type: str,
    random_state: int,
    model_type: str,
    model_params: dict,
) -> Pipeline:
    model_key = (model_type or ""random_forest"").strip().lower()
    preprocessor = build_preprocessor(X, sparse_output=model_key != ""hist_gradient_boosting"")
    # REGION: MODEL_SELECTION START
    n_estimators = to_int(model_params.get(""n_estimators""), 300)
    max_depth = model_params.get(""max_depth"")
    if max_depth in ("""", ""None"", ""null""):
        max_depth = None
    min_samples_leaf = to_int(mode",
6,table_calculation,xlsx_pivot,calculation,恒一会 かえで総合病院のtrain.xlsx内の PivotTable で集計されている表から、ALPの平均が最も高いものの抽出条件を教えてください。,Gender=Male、disease=1、Age=68で抽出されたデータに対する平均 / ALP,わかりません,Gender=Male、disease=1、Age=68で抽出されたデータに対する平均 / ALP,True,table_calculation_reuse,high,data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 恒一会 かえで総合病院\03.データ\train.csv,"Gender,disease,AgeでALP平均を集計し、最大値=873.697898の組み合わせを取得。",EDA030のローカル計算結果を再利用
7,table_calculation,csv,calculation,恒一会 かえで総合病院のプロジェクトデータ（train.csv）において、disease=1の女性の中で、ALT_GPTの平均値が最も高い年齢は何歳ですか。,32歳,わかりません,32歳,True,table_calculation_reuse,high,data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 恒一会 かえで総合病院\03.データ\train.csv,disease=1かつGender=Femaleで217行に絞り、Age別ALT_GPT平均の最大値=250.500039を取得。,EDA030のローカル計算結果を再利用
9,diff_check,pptx_or_docx_versions,diff_pipeline,青嶺不動産アセットマネジメントの提案書について、oldフォルダ内の旧版と提案フォルダ直下の最新版を比較し、変更された箇所を変更前と変更後で答えてください。,QAレビューア：池田 直哉 → 小林 直樹,変更なし,QAレビューア:池田 直哉 → 小林 直樹,True,pptx_old_new_structure_diff,medium,data\processed\share\share\共有ドライブ\プロジェクト\株式会社青嶺不動産アセットマネジメント\00.提案\old\提案書.pptx.md | data\processed\share\share\共有ドライブ\プロジェクト\株式会社青嶺不動産アセットマネジメント\00.提案\提案書.pptx.md,old=池田 直哉 new=小林 直樹,
10,document_whole_context,pptx,target_retrieval,蒼樹会 みなみ野女性医療センターの最終報告書にて、影響度が最も高いとされている残余リスクを抜き出してください。,0値の疑似欠損,わかりません,0値の疑似欠損,True,processed_text_regex,medium,data\processed\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼樹会 みなみ野女性医療センター\00.提案\提案書.pptx.md,"- image_count: 0
- chart_count: 0

## Slides

### Slide 1

データ分析プロジェクト提案書

糖尿病リスク早期把握に向けた分析基盤整備

提出先
医療法人社団 蒼樹会
みなみ野女性医療センター
医療情報・品質改善推進室 林 さくら 室長

提出元
株式会社データアステル
データサイエンス部

2025-04-03


### Slide 2

エグゼクティブサマリー

プロジェクト概要

医療法人社団 蒼樹会 みなみ野女性医療センターにおける糖尿病リスク早期把握のためのデータ分析基盤整備プロジェクト。train.csv(3,000行×10カラム)を対象に、Outcome(糖尿病有無)の予測可能性を検証し、業務活用可否を判断できる分析基盤を整備する。

契約期間
6週間
2025-04-03 起点

契約金額
¥3,960,000
税込・固定価格

対象データ
3,000行
10カラム・二値分類

陽性率
23.9%
不均衡データ対応

主要目的

1

糖尿病判定に寄与する主要因子の特定

2

再利用可能な前処理・分析・評価の標準手順定義

3

業務活用可否を判断できる水準での精度・解釈性整理

分析アプローチ

データ理解
品質確認

前処理設計
方針策定

モデル構築
性能比較

示唆整理
業務活用

主要リスク: 疑似欠損(0値)の存在 / クラス不均衡(陽性率23.9%) / 解釈の過剰一般化の回避 / 個人情報の慎重な取り扱い

2


### Slide 3

1. 背景

医療法人社団 蒼樹会 みなみ野女性医療センターでは、医療品質向上・業務効率化・患者安全性の観点から、データを活用した意思決定高度化が求められている。特に、糖尿病リスクの早期把握は、診療優先順位付け、保健指導対象の抽出、フォローアップ設計の標準化に直結する重要テーマである。

対象データ概要

データソース
train.csv

レコード数
3,000行

カラム数
10

目的変数
Outcome(0/1)

主な特徴量:妊娠回数、血糖値、血圧、皮膚厚、インスリン、BMI、糖尿病血統、年齢

本プロジェクトのアプローチ

データ品質確認
前処理方針の明文化

説明可能な分析
複数モデル比較

業務判断に資する
論点整理

単なる精度確認に留まらず、データ品質確認から業務判断に資する論点整理までを一体で実施

3


### Slide 4

現状の課題

因子寄与度の未整理
糖尿病有無の判定に関連する因子の寄与度が定量的に整理されていない

1

疑似欠損データ
BloodPressure、SkinThickness、Insulin、BMIに実務上の疑似欠損を疑うべき0値等が含まれる

2

手順の未標準化
前処理ルール、評価指標、分析手順の統一が必要である

3

説明責任の確保
医療分野として、説明責任を満たさないブラックボックス的判断や根拠のない臨床主張を避ける必要がある

4

運用と再現性の両立
患者アウトカム改善に資する示唆と、現場運用に耐える再現性ある手順整備の両立が必要である

5

これらの課題に対し、本プロジェクトではデータ品質確認から業務論点整理まで一体で取り組む

4


### Slide 5

2. プロジェクト目的

1

主要因子の特定
Outcomeを目的変数とする分類分析を実施し、糖尿病判定に寄与する主要因子を特定する

2

標準手順の定義
医療情報・品質改善推進室が再利用可能な、前処理・分析・評価の標準手順を定義する

3

活用可否の判断基盤
今後の業務活用可否を判断できる水準で、分析精度・解釈性・運用上の留意点を整理する

PoC/分析初期フェーズ重視観点",
11,table_calculation,xlsx,calculation,東都人材プラットフォームのtrain.xlsxにおいて、trainシートでフィルターで抽出されている条件を教えてください。,Gender=Male、Country=India、target=2,わかりません,Gender=Male、Country=India、target=2,True,table_calculation_reuse,high,data\raw\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\03.データ\train.xlsx,trainシートのAutoFilter ref=A1:J11530から3条件を抽出。,EDA030のローカル計算結果を再利用
